lang,head_num,attr_num,verb_num,model,is_syn,type,mean,se
eng,sg,pl,pl,gpt,no,head,3.3417809520518214e-9,2.785170606862673e-9
eng,sg,pl,pl,gpt,yes,head,1.8953138042613842e-6,8.992602540987085e-7
eng,sg,pl,sg,gpt,no,head,9.115280683568566e-10,6.760529629717704e-10
eng,sg,pl,sg,gpt,yes,head,1.7063143314653788e-6,9.610153146562448e-7
eng,sg,sg,pl,gpt,no,head,1.0041581869303014e-8,7.594945704206465e-9
eng,sg,sg,pl,gpt,yes,head,2.990397174600957e-6,1.667481745280803e-6
eng,sg,sg,sg,gpt,no,head,2.3682329575362344e-9,1.4109259044111105e-9
eng,sg,sg,sg,gpt,yes,head,2.1038830889295885e-6,1.31339804547547e-6
eng,sg,pl,pl,gpt,no,attractor,0.031258609690959685,0.031247676862404178
eng,sg,pl,pl,gpt,yes,attractor,0.7916241253473985,0.08467648891281924
eng,sg,pl,sg,gpt,no,attractor,0.03125201215331829,0.031249223699829985
eng,sg,pl,sg,gpt,yes,attractor,0.7916209033905126,0.0846762313785041
eng,sg,sg,pl,gpt,no,attractor,0.03130650158734923,0.031245913357842377
eng,sg,sg,pl,gpt,yes,attractor,0.8333166941704054,0.0777071824814175
eng,sg,sg,sg,gpt,no,attractor,0.031274522401884754,0.031248060430419625
eng,sg,sg,sg,gpt,yes,attractor,0.8333143294812108,0.07770696221060815
eng,sg,pl,pl,bert,no,head,0.2068485452909954,0.02627831007615348
eng,sg,pl,pl,bert,yes,head,0.18268181771660846,0.025946864441698782
eng,sg,pl,sg,bert,no,head,0.2199738051276654,0.023958239384813267
eng,sg,pl,sg,bert,yes,head,0.29237745073623955,0.033731942079877904
eng,sg,sg,pl,bert,no,head,0.2363979482324794,0.029316644321705023
eng,sg,sg,pl,bert,yes,head,0.2860280121676624,0.03720578628055491
eng,sg,sg,sg,bert,no,head,0.22238822747021914,0.02388811103132865
eng,sg,sg,sg,bert,yes,head,0.2843740452857067,0.033362996273755226
eng,sg,pl,pl,bert,no,attractor,0.09018600425042678,0.015132957445182166
eng,sg,pl,pl,bert,yes,attractor,0.2683835552694897,0.03475150331504398
eng,sg,pl,sg,bert,no,attractor,0.030949097577831704,0.009002184014394123
eng,sg,pl,sg,bert,yes,attractor,0.05960124440995665,0.024098866765807372
eng,sg,sg,pl,bert,no,attractor,0.033105378548498265,0.009626294896451016
eng,sg,sg,pl,bert,yes,attractor,0.06279023833728084,0.021060988850364375
eng,sg,sg,sg,bert,no,attractor,0.03617477427178528,0.008964399499457884
eng,sg,sg,sg,bert,yes,attractor,0.08463703794404864,0.024992748648745896
tr,sg,pl,pl,bert,no,attractor,0.11353470496616738,0.011377871159842491
tr,sg,pl,pl,bert,yes,attractor,0.1328580151179007,0.012004913425789665
tr,sg,pl,pl,gpt2,no,attractor,1.9805810590123023,0.07871098761411055
tr,sg,pl,pl,gpt2,yes,attractor,1.9854783924186932,0.08700072517252479
