item,sentence,condition,head_num,attr_num,verb_num,attention_to_attractor,attention_to_head,head_tokens,attractor_tokens,verb_tokens
1,Абонемент на концерт был дорогим из-за участия популярных артистов,SG-SG-SG,SG,SG,SG,0.09337449073791504,2.1335854530334473,"['абонем', '##ент']",['концерт'],"['был', 'дороги', '##м']"
1,Абонемент на концерт были дорогими из-за участия популярных артистов,SG-SG-PL,SG,SG,PL,0.04057487100362778,2.322390556335449,"['абонем', '##ент']",['концерт'],"['были', 'дороги', '##ми']"
1,Абонемент на концерты был дорогим из-за участия популярных артистов,SG-PL-SG,SG,PL,SG,0.08533599972724915,2.0687289237976074,"['абонем', '##ент']",['концерты'],"['был', 'дороги', '##м']"
1,Абонемент на концерты были дорогими из-за участия популярных артистов,SG-PL-PL,SG,PL,PL,0.05353132262825966,2.308788776397705,"['абонем', '##ент']",['концерты'],"['были', 'дороги', '##ми']"
1,Абонементы на концерт был дорогим из-за участия популярных артистов,PL-SG-SG,PL,SG,SG,0.05710244178771973,2.394629716873169,"['абонем', '##енты']",['концерт'],"['был', 'дороги', '##м']"
1,Абонементы на концерт были дорогими из-за участия популярных артистов,PL-SG-PL,PL,SG,PL,0.1160537600517273,1.6312659978866577,"['абонем', '##енты']",['концерт'],"['были', 'дороги', '##ми']"
1,Абонементы на концерты был дорогим из-за участия популярных артистов,PL-PL-SG,PL,PL,SG,0.03142211586236954,2.3220887184143066,"['абонем', '##енты']",['концерты'],"['был', 'дороги', '##м']"
1,Абонементы на концерты были дорогими из-за участия популярных артистов,PL-PL-PL,PL,PL,PL,0.11610951274633408,1.697212815284729,"['абонем', '##енты']",['концерты'],"['были', 'дороги', '##ми']"
2,Анекдот про экзамен для строгого пожилого учителя был обидным,SG-SG-SG,SG,SG,SG,0.3715268075466156,0.35062336921691895,['анекдот'],['экзамен'],"['для', 'строго', '##го']"
2,Анекдот про экзамен для строгого пожилого учителя были обидными,SG-SG-PL,SG,SG,PL,0.208452969789505,0.44601139426231384,['анекдот'],['экзамен'],"['для', 'строго', '##го']"
2,Анекдот про экзамены для строгого пожилого учителя был обидным,SG-PL-SG,SG,PL,SG,0.1834171861410141,0.5492758750915527,['анекдот'],['экзамены'],"['для', 'строго', '##го']"
2,Анекдот про экзамены для строгого пожилого учителя были обидными,SG-PL-PL,SG,PL,PL,0.2019062340259552,0.5180459022521973,['анекдот'],['экзамены'],"['для', 'строго', '##го']"
2,Анекдоты про экзамен для строгого пожилого учителя был обидным,PL-SG-SG,PL,SG,SG,0.257249653339386,0.3216229975223541,"['анекдот', '##ы']",['экзамен'],"['для', 'строго', '##го']"
2,Анекдоты про экзамен для строгого пожилого учителя были обидными,PL-SG-PL,PL,SG,PL,0.2702004909515381,0.5835716724395752,"['анекдот', '##ы']",['экзамен'],"['для', 'строго', '##го']"
2,Анекдоты про экзамены для строгого пожилого учителя был обидным,PL-PL-SG,PL,PL,SG,0.1010478138923645,0.38082262873649597,"['анекдот', '##ы']",['экзамены'],"['для', 'строго', '##го']"
2,Анекдоты про экзамены для строгого пожилого учителя были обидными,PL-PL-PL,PL,PL,PL,0.18898820877075195,0.6808189153671265,"['анекдот', '##ы']",['экзамены'],"['для', 'строго', '##го']"
3,Арка во двор в несущей конструкции здания была проделана,SG-SG-SG,SG,SG,SG,0.03134564310312271,0.3069794476032257,['арка'],['двор'],"['в', 'несу']"
3,Арка во двор в несущей конструкции здания были проделаны,SG-SG-PL,SG,SG,PL,0.021414294838905334,0.19137781858444214,['арка'],['двор'],"['в', 'несу']"
3,Арка во дворы в несущей конструкции здания была проделана,SG-PL-SG,SG,PL,SG,0.034138113260269165,0.38091278076171875,['арка'],"['двор', '##ы']","['в', 'несу']"
3,Арка во дворы в несущей конструкции здания были проделаны,SG-PL-PL,SG,PL,PL,0.05276878550648689,0.17498978972434998,['арка'],"['двор', '##ы']","['в', 'несу']"
3,Арки во двор в несущей конструкции здания была проделана,PL-SG-SG,PL,SG,SG,0.02548329532146454,0.3447825312614441,"['ар', '##ки']",['двор'],"['в', 'несу']"
3,Арки во двор в несущей конструкции здания были проделаны,PL-SG-PL,PL,SG,PL,0.04143355041742325,0.38339126110076904,"['ар', '##ки']",['двор'],"['в', 'несу']"
3,Арки во дворы в несущей конструкции здания была проделана,PL-PL-SG,PL,PL,SG,0.02770843356847763,0.46027466654777527,"['ар', '##ки']","['двор', '##ы']","['в', 'несу']"
3,Арки во дворы в несущей конструкции здания были проделаны,PL-PL-PL,PL,PL,PL,0.07175067067146301,0.40106943249702454,"['ар', '##ки']","['двор', '##ы']","['в', 'несу']"
4,Атака на крепость из-за стратегической ошибки полководца была безуспешной,SG-SG-SG,SG,SG,SG,0.05344530940055847,0.34799841046333313,['атака'],['крепость'],"['из', '-', 'за', 'стратеги']"
