item,sentence,condition,head_num,attr_num,verb_num,verb,surprisal,model
1,Абонемент на концерт был дорогим из-за участия популярных артистов,SG-SG-SG,SG,SG,SG,артистов,15.12886905670166,rubert
1,Абонемент на концерт были дорогими из-за участия популярных артистов,SG-SG-PL,SG,SG,PL,артистов,15.294105529785156,rubert
1,Абонемент на концерты был дорогим из-за участия популярных артистов,SG-PL-SG,SG,PL,SG,артистов,15.034881591796875,rubert
1,Абонемент на концерты были дорогими из-за участия популярных артистов,SG-PL-PL,SG,PL,PL,артистов,15.303680419921875,rubert
1,Абонементы на концерт был дорогим из-за участия популярных артистов,PL-SG-SG,PL,SG,SG,артистов,15.097441673278809,rubert
1,Абонементы на концерт были дорогими из-за участия популярных артистов,PL-SG-PL,PL,SG,PL,артистов,15.858283996582031,rubert
1,Абонементы на концерты был дорогим из-за участия популярных артистов,PL-PL-SG,PL,PL,SG,артистов,14.072047233581543,rubert
1,Абонементы на концерты были дорогими из-за участия популярных артистов,PL-PL-PL,PL,PL,PL,артистов,15.733026504516602,rubert
2,Анекдот про экзамен для строгого пожилого учителя был обидным,SG-SG-SG,SG,SG,SG,обидным,14.484434127807617,rubert
2,Анекдот про экзамен для строгого пожилого учителя были обидными,SG-SG-PL,SG,SG,PL,обидными,17.50468635559082,rubert
2,Анекдот про экзамены для строгого пожилого учителя был обидным,SG-PL-SG,SG,PL,SG,обидным,14.417810440063477,rubert
2,Анекдот про экзамены для строгого пожилого учителя были обидными,SG-PL-PL,SG,PL,PL,обидными,16.56151580810547,rubert
2,Анекдоты про экзамен для строгого пожилого учителя был обидным,PL-SG-SG,PL,SG,SG,обидным,14.688179016113281,rubert
2,Анекдоты про экзамен для строгого пожилого учителя были обидными,PL-SG-PL,PL,SG,PL,обидными,17.54981231689453,rubert
2,Анекдоты про экзамены для строгого пожилого учителя был обидным,PL-PL-SG,PL,PL,SG,обидным,14.289234161376953,rubert
2,Анекдоты про экзамены для строгого пожилого учителя были обидными,PL-PL-PL,PL,PL,PL,обидными,17.046884536743164,rubert
