item,sentence,condition,head_num,attr_num,verb_num,attention_to_attractor,attention_to_head,model
1,yöneticilerin aşçısı mutfakta sürekli zıpladılar,condition_a,sg,pl,pl,0.03518500551581383,0.05376002937555313,bert
1,yöneticilerin aşçısı mutfakta sürekli zıpladı,condition_b,sg,pl,sg,0.0508555993437767,0.04986230656504631,bert
1,yöneticinin aşçısı mutfakta sürekli zıpladılar,condition_c,sg,sg,pl,0.1390172392129898,0.04949919134378433,bert
1,yöneticinin aşçısı mutfakta sürekli zıpladı,condition_d,sg,sg,sg,0.14777353405952454,0.04908699914813042,bert
2,öğrencilerin ablası sınıfta birden bayıldılar,condition_a,sg,pl,pl,0.054836321622133255,0.1267644166946411,bert
2,öğrencilerin ablası sınıfta birden bayıldı,condition_b,sg,pl,sg,0.0466991662979126,0.09795673191547394,bert
2,öğrencinin ablası sınıfta birden bayıldılar,condition_c,sg,sg,pl,0.07466171681880951,0.11782222241163254,bert
2,öğrencinin ablası sınıfta birden bayıldı,condition_d,sg,sg,sg,0.053716156631708145,0.09058967977762222,bert
3,marangozların abisi atölyeden hızla uzaklaştılar,condition_a,sg,pl,pl,0.1508663147687912,0.08667710423469543,bert
3,marangozların abisi atölyeden hızla uzaklaştı,condition_b,sg,pl,sg,0.13009504973888397,0.09211765229701996,bert
3,marangozun abisi atölyeden hızla uzaklaştılar,condition_c,sg,sg,pl,0.15155154466629028,0.07612346112728119,bert
3,marangozun abisi atölyeden hızla uzaklaştı,condition_d,sg,sg,sg,0.13914042711257935,0.08025988936424255,bert
4,mahallelilerin emlakçısı aniden küstahça güldüler,condition_a,sg,pl,pl,0.07477889955043793,0.0866277813911438,bert
4,mahallelilerin emlakçısı aniden küstahça güldü,condition_b,sg,pl,sg,0.08953411132097244,0.11090094596147537,bert
4,mahallelinin emlakçısı aniden küstahça güldüler,condition_c,sg,sg,pl,0.08485867828130722,0.09286345541477203,bert
4,mahallelinin emlakçısı aniden küstahça güldü,condition_d,sg,sg,sg,0.1051572859287262,0.119594506919384,bert
5,kızların halası sabaha kadar ağladılar,condition_a,sg,pl,pl,0.04784257337450981,0.19005638360977173,bert
5,kızların halası sabaha kadar ağladı,condition_b,sg,pl,sg,0.042976826429367065,0.1854158639907837,bert
5,kızın halası sabaha kadar ağladılar,condition_c,sg,sg,pl,0.07150675356388092,0.19616243243217468,bert
5,kızın halası sabaha kadar ağladı,condition_d,sg,sg,sg,0.053463827818632126,0.19968435168266296,bert
6,damatların dayısı arada sırada sıkıldılar,condition_a,sg,pl,pl,0.16016149520874023,0.12057928740978241,bert
6,damatların dayısı arada sırada sıkıldı,condition_b,sg,pl,sg,0.1713889241218567,0.10754548013210297,bert
6,damatın dayısı arada sırada sıkıldılar,condition_c,sg,sg,pl,0.24522003531455994,0.11532574146986008,bert
6,damatın dayısı arada sırada sıkıldı,condition_d,sg,sg,sg,0.24057364463806152,0.11117002367973328,bert
7,doktorların çiçekçisi günden güne zayıfladılar,condition_a,sg,pl,pl,0.037242792546749115,0.17852267622947693,bert
7,doktorların çiçekçisi günden güne zayıfladı,condition_b,sg,pl,sg,0.02124882861971855,0.13883578777313232,bert
7,doktorun çiçekçisi günden güne zayıfladılar,condition_c,sg,sg,pl,0.10352640599012375,0.14098280668258667,bert
