model,layer,head,correct,total,accuracy
bert,0,0,109065,1190043,0.09164794534444809
bert,0,1,94537,1190043,0.07943999022245407
bert,0,2,67666,1190043,0.05686013028025627
bert,0,3,51104,1190043,0.04294298589229584
bert,0,4,143345,1190043,0.12045363336801529
bert,0,5,58201,1190043,0.048906635493040085
bert,0,6,40675,1190043,0.03417943790555
bert,0,7,109918,1190043,0.09236472845077515
bert,0,8,3205,1190043,0.0026931799948215485
bert,0,9,80021,1190043,0.0672421082854271
bert,0,10,50960,1190043,0.0428219810128212
bert,0,11,72669,1190043,0.06106417998671532
bert,1,0,6918,1190043,0.0058132354170084
bert,1,1,293,1190043,0.00024620958720333874
bert,1,2,6132,1190043,0.0051527549512684345
bert,1,3,87080,1190043,0.07317382842302322
bert,1,4,15585,1190043,0.013096165843307972
bert,1,5,4890,1190043,0.004109095316380262
bert,1,6,16283,1190043,0.013682698830962181
bert,1,7,179176,1190043,0.15056262910366058
bert,1,8,18917,1190043,0.015896065160632133
bert,1,9,4916,1190043,0.004130943212658167
bert,1,10,20871,1190043,0.017538022249937057
bert,1,11,3316,1190043,0.0027864540461450815
bert,2,0,68804,1190043,0.05781639739871025
bert,2,1,73,1190043,6.134231807664037e-05
bert,2,2,2885,1190043,0.002424282254651189
bert,2,3,7438,1190043,0.006250194273889065
bert,2,4,439,1190043,0.0003688942233566195
bert,2,5,3433,1190043,0.0028847698122262955
bert,2,6,6768,1190043,0.0056871892884373665
bert,2,7,13971,1190043,0.011739911511540413
bert,2,8,229244,1190043,0.19263505935668945
bert,2,9,23303,1190043,0.019581645727157593
bert,2,10,294470,1190043,0.24744483828544617
bert,2,11,29849,1190043,0.025082286447286606
bert,3,0,3196,1190043,0.0026856171898543835
bert,3,1,257021,1190043,0.21597622334957123
bert,3,2,2438,1190043,0.00204866542480886
bert,3,3,3980,1190043,0.0033444168511778116
bert,3,4,149596,1190043,0.12570637464523315
bert,3,5,72,1190043,6.0502014093799517e-05
bert,3,6,1122,1190043,0.0009428230696357787
bert,3,7,56,1190043,4.705712490249425e-05
bert,3,8,264791,1190043,0.22250540554523468
bert,3,9,732,1190043,0.0006151038105599582
bert,3,10,11355,1190043,0.009541671723127365
bert,3,11,17162,1190043,0.014421327970921993
