model,layer,head,correct,total,accuracy
gpt2,0,0,32912,1190082,0.027655236423015594
gpt2,0,1,9543,1190082,0.008018774911761284
gpt2,0,2,157734,1190082,0.13254044950008392
gpt2,0,3,151781,1190082,0.12753826379776
gpt2,0,4,1991,1190082,0.001672993996180594
gpt2,0,5,3036,1190082,0.00255108461715281
gpt2,0,6,90530,1190082,0.0760703906416893
gpt2,0,7,3289,1190082,0.002763675060123205
gpt2,0,8,21318,1190082,0.017913050949573517
gpt2,0,9,171614,1190082,0.14420351386070251
gpt2,0,10,2251,1190082,0.001891466323286295
gpt2,0,11,82078,1190082,0.06896835565567017
gpt2,1,0,76960,1190082,0.06466781347990036
gpt2,1,1,130058,1190082,0.109284907579422
gpt2,1,2,203439,1190082,0.17094536125659943
gpt2,1,3,171029,1190082,0.14371193945407867
gpt2,1,4,226655,1190082,0.19045326113700867
gpt2,1,5,219026,1190082,0.1840427815914154
gpt2,1,6,96698,1190082,0.08125322312116623
gpt2,1,7,117583,1190082,0.09880243241786957
gpt2,1,8,113871,1190082,0.09568332135677338
gpt2,1,9,153177,1190082,0.1287112981081009
gpt2,1,10,197958,1190082,0.16633979976177216
gpt2,1,11,183833,1190082,0.15447086095809937
gpt2,2,0,140601,1190082,0.1181439608335495
gpt2,2,1,190783,1190082,0.1603108048439026
gpt2,2,2,118355,1190082,0.09945113211870193
gpt2,2,3,193749,1190082,0.1628030687570572
gpt2,2,4,102501,1190082,0.08612935990095139
gpt2,2,5,180377,1190082,0.15156686305999756
gpt2,2,6,270125,1190082,0.22698016464710236
gpt2,2,7,156508,1190082,0.13151027262210846
gpt2,2,8,77716,1190082,0.06530306488275528
gpt2,2,9,172686,1190082,0.1451042890548706
gpt2,2,10,172556,1190082,0.1449950486421585
gpt2,2,11,231933,1190082,0.19488824903964996
gpt2,3,0,114556,1190082,0.09625891596078873
gpt2,3,1,81513,1190082,0.06849359720945358
gpt2,3,2,214015,1190082,0.17983214557170868
gpt2,3,3,60809,1190082,0.05109648033976555
gpt2,3,4,210085,1190082,0.17652985453605652
gpt2,3,5,148122,1190082,0.12446369230747223
gpt2,3,6,216190,1190082,0.1816597580909729
gpt2,3,7,184849,1190082,0.15532459318637848
gpt2,3,8,272156,1190082,0.22868676483631134
gpt2,3,9,94811,1190082,0.07966762036085129
gpt2,3,10,291050,1190082,0.24456298351287842
gpt2,3,11,165595,1190082,0.1391458809375763
gpt2,4,0,221769,1190082,0.18634766340255737
gpt2,4,1,227322,1190082,0.19101372361183167
gpt2,4,2,85098,1190082,0.07150599360466003
gpt2,4,3,129314,1190082,0.10865973681211472
gpt2,4,4,73527,1190082,0.061783138662576675
gpt2,4,5,102268,1190082,0.08593357354402542
gpt2,4,6,183658,1190082,0.15432381629943848
gpt2,4,7,222335,1190082,0.1868232637643814
gpt2,4,8,151765,1190082,0.12752482295036316
gpt2,4,9,146369,1190082,0.122990682721138
gpt2,4,10,87239,1190082,0.07330503314733505
gpt2,4,11,227406,1190082,0.19108431041240692
gpt2,5,0,170556,1190082,0.14331449568271637
gpt2,5,1,146267,1190082,0.12290497869253159
gpt2,5,2,131376,1190082,0.11039239168167114
gpt2,5,3,164354,1190082,0.13810308277606964
gpt2,5,4,156515,1190082,0.13151614367961884
gpt2,5,5,118109,1190082,0.09924442321062088
gpt2,5,6,170874,1190082,0.14358170330524445
gpt2,5,7,212153,1190082,0.17826755344867706
gpt2,5,8,170298,1190082,0.14309769868850708
gpt2,5,9,98718,1190082,0.08295058459043503
gpt2,5,10,65772,1190082,0.05526677891612053
