model,direction,language,layer,head,correct,total,accuracy
bert,leftward,english,0,0,118969,1679481,0.07083676755428314
bert,leftward,english,0,1,150522,1679481,0.08962411433458328
bert,leftward,english,0,2,264081,1679481,0.1572396457195282
bert,leftward,english,0,3,439189,1679481,0.26150280237197876
bert,leftward,english,0,4,38196,1679481,0.02274274080991745
bert,leftward,english,0,5,124665,1679481,0.07422828674316406
bert,leftward,english,0,6,69283,1679481,0.04125262424349785
bert,leftward,english,0,7,77538,1679481,0.04616783559322357
bert,leftward,english,0,8,91764,1679481,0.05463830754160881
bert,leftward,english,0,9,22989,1679481,0.013688157312572002
bert,leftward,english,0,10,1497,1679481,0.0008913467754609883
bert,leftward,english,0,11,147161,1679481,0.08762290328741074
bert,leftward,english,1,0,48037,1679481,0.02860228903591633
bert,leftward,english,1,1,126,1679481,7.502317748731002e-05
bert,leftward,english,1,2,50803,1679481,0.030249224975705147
bert,leftward,english,1,3,14178,1679481,0.008441893383860588
bert,leftward,english,1,4,335133,1679481,0.19954557716846466
bert,leftward,english,1,5,48984,1679481,0.029166152700781822
bert,leftward,english,1,6,34,1679481,2.024434979830403e-05
bert,leftward,english,1,7,57592,1679481,0.034291546791791916
bert,leftward,english,1,8,24962,1679481,0.014862924814224243
bert,leftward,english,1,9,1006,1679481,0.0005989945493638515
bert,leftward,english,1,10,163820,1679481,0.09754204005002975
bert,leftward,english,1,11,2096,1679481,0.001248004613444209
bert,leftward,english,2,0,0,1679481,0.0
bert,leftward,english,2,1,68041,1679481,0.04051310941576958
bert,leftward,english,2,2,1692,1679481,0.00100745412055403
bert,leftward,english,2,3,1361,1679481,0.0008103693835437298
bert,leftward,english,2,4,7877,1679481,0.004690139554440975
bert,leftward,english,2,5,813,1679481,0.000484078103909269
bert,leftward,english,2,6,703,1679481,0.0004185816796962172
bert,leftward,english,2,7,29470,1679481,0.017547087743878365
bert,leftward,english,2,8,9323,1679481,0.005551119800657034
bert,leftward,english,2,9,0,1679481,0.0
bert,leftward,english,2,10,28811,1679481,0.01715470477938652
bert,leftward,english,2,11,27151,1679481,0.01616630330681801
bert,leftward,english,3,0,249,1679481,0.00014826009282842278
bert,leftward,english,3,1,84513,1679481,0.05032090097665787
bert,leftward,english,3,2,4357,1679481,0.002594253746792674
bert,leftward,english,3,3,1277,1679481,0.0007603539270348847
bert,leftward,english,3,4,23279,1679481,0.013860829174518585
bert,leftward,english,3,5,437755,1679481,0.2606489658355713
bert,leftward,english,3,6,14512,1679481,0.008640764281153679
bert,leftward,english,3,7,1425,1679481,0.0008484764257445931
bert,leftward,english,3,8,61489,1679481,0.03661190718412399
bert,leftward,english,3,9,147,1679481,8.75270416145213e-05
bert,leftward,english,3,10,137793,1679481,0.08204498887062073
bert,leftward,english,3,11,131274,1679481,0.07816343009471893
bert,leftward,english,4,0,43454,1679481,0.025873469188809395
bert,leftward,english,4,1,15674,1679481,0.009332644753158092
bert,leftward,english,4,2,302,1679481,0.00017981744895223528
bert,leftward,english,4,3,190,1679481,0.00011313019058434293
bert,leftward,english,4,4,19866,1679481,0.011828654445707798
bert,leftward,english,4,5,164,1679481,9.764921560417861e-05
bert,leftward,english,4,6,49748,1679481,0.029621055349707603
bert,leftward,english,4,7,22307,1679481,0.013282079249620438
bert,leftward,english,4,8,24,1679481,1.4290129001892637e-05
bert,leftward,english,4,9,2001,1679481,0.001191439456306398
bert,leftward,english,4,10,480502,1679481,0.28610149025917053
bert,leftward,english,4,11,8,1679481,4.763376182381762e-06
bert,leftward,english,5,0,67,1679481,3.9893275243230164e-05
bert,leftward,english,5,1,7534,1679481,0.004485909827053547
bert,leftward,english,5,2,6152,1679481,0.003663036273792386
bert,leftward,english,5,3,20705,1679481,0.012328213080763817
bert,leftward,english,5,4,1731,1679481,0.0010306756012141705
bert,leftward,english,5,5,13,1679481,7.740486580587458e-06
bert,leftward,english,5,6,11431,1679481,0.006806269288063049
bert,leftward,english,5,7,316,1679481,0.00018815336807165295
bert,leftward,english,5,8,145,1679481,8.633619290776551e-05
bert,leftward,english,5,9,44,1679481,2.619856968522072e-05
bert,leftward,english,5,10,421388,1679481,0.2509036958217621
bert,leftward,english,5,11,69,1679481,4.1084120312007144e-05
bert,leftward,english,6,0,4011,1679481,0.0023882377427071333
bert,leftward,english,6,1,127181,1679481,0.07572636753320694
bert,leftward,english,6,2,8096,1679481,0.004820536822080612
bert,leftward,english,6,3,14647,1679481,0.00872114673256874
bert,leftward,english,6,4,87072,1679481,0.05184458941221237
bert,leftward,english,6,5,15166,1679481,0.009030170738697052
bert,leftward,english,6,6,49,1679481,2.9175680538173765e-05
bert,leftward,english,6,7,15825,1679481,0.009422553703188896
bert,leftward,english,6,8,22,1679481,1.309928484261036e-05
bert,leftward,english,6,9,125253,1679481,0.07457839697599411
bert,leftward,english,6,10,156847,1679481,0.09339015930891037
bert,leftward,english,6,11,530580,1679481,0.31591901183128357
bert,leftward,english,7,0,57310,1679481,0.03412363678216934
bert,leftward,english,7,1,394,1679481,0.0002345962857361883
bert,leftward,english,7,2,569,1679481,0.00033879512920975685
bert,leftward,english,7,3,1510,1679481,0.0008990872884169221
bert,leftward,english,7,4,520834,1679481,0.3101160526275635
bert,leftward,english,7,5,51131,1679481,0.030444523319602013
bert,leftward,english,7,6,295,1679481,0.00017564950394444168
bert,leftward,english,7,7,773,1679481,0.00046026124618947506
bert,leftward,english,7,8,1141,1679481,0.0006793765351176262
bert,leftward,english,7,9,59138,1679481,0.03521206974983215
bert,leftward,english,7,10,57095,1679481,0.033995620906353
bert,leftward,english,7,11,87477,1679481,0.05208573490381241
bert,leftward,english,8,0,60,1679481,3.5725322959478945e-05
bert,leftward,english,8,1,207,1679481,0.00012325236457400024
bert,leftward,english,8,2,271,1679481,0.00016135937767103314
bert,leftward,english,8,3,26899,1679481,0.01601625792682171
bert,leftward,english,8,4,11889,1679481,0.007078972645103931
bert,leftward,english,8,5,6997,1679481,0.004166168160736561
bert,leftward,english,8,6,5765,1679481,0.003432607976719737
bert,leftward,english,8,7,54811,1679481,0.032635677605867386
bert,leftward,english,8,8,20914,1679481,0.012452656403183937
bert,leftward,english,8,9,10121,1679481,0.006026266608387232
bert,leftward,english,8,10,492325,1679481,0.2931411564350128
bert,leftward,english,8,11,55675,1679481,0.033150121569633484
bert,leftward,english,9,0,14474,1679481,0.00861813873052597
bert,leftward,english,9,1,62311,1679481,0.037101343274116516
bert,leftward,english,9,2,89338,1679481,0.05319381505250931
bert,leftward,english,9,3,7941,1679481,0.004728246480226517
bert,leftward,english,9,4,36706,1679481,0.021855561062693596
bert,leftward,english,9,5,65195,1679481,0.038818538188934326
bert,leftward,english,9,6,123,1679481,7.323690806515515e-05
