model,direction,language,layer,head,correct,total,accuracy
bert,leftward,german,0,0,82174,1335993,0.061507806181907654
bert,leftward,german,0,1,200801,1335993,0.15030093491077423
bert,leftward,german,0,2,70312,1335993,0.0526290200650692
bert,leftward,german,0,3,66915,1335993,0.05008634179830551
bert,leftward,german,0,4,105437,1335993,0.07892032712697983
bert,leftward,german,0,5,47125,1335993,0.035273388028144836
bert,leftward,german,0,6,243664,1335993,0.182384192943573
bert,leftward,german,0,7,66717,1335993,0.0499381348490715
bert,leftward,german,0,8,73604,1335993,0.055093102157115936
bert,leftward,german,0,9,98320,1335993,0.07359319925308228
bert,leftward,german,0,10,78407,1335993,0.05868818238377571
bert,leftward,german,0,11,102522,1335993,0.07673842459917068
bert,leftward,german,1,0,91298,1335993,0.06833718717098236
bert,leftward,german,1,1,71467,1335993,0.05349354445934296
bert,leftward,german,1,2,308794,1335993,0.23113444447517395
bert,leftward,german,1,3,56196,1335993,0.042063094675540924
bert,leftward,german,1,4,10,1335993,7.4850690907624085e-06
bert,leftward,german,1,5,13636,1335993,0.01020664069801569
bert,leftward,german,1,6,73241,1335993,0.05482139438390732
bert,leftward,german,1,7,37429,1335993,0.02801586501300335
bert,leftward,german,1,8,47785,1335993,0.03576740249991417
bert,leftward,german,1,9,21765,1335993,0.01629125326871872
bert,leftward,german,1,10,25613,1335993,0.01917150802910328
bert,leftward,german,1,11,22672,1335993,0.01697014831006527
bert,leftward,german,2,0,40811,1335993,0.030547315254807472
bert,leftward,german,2,1,110,1335993,8.233576227212325e-05
bert,leftward,german,2,2,5778,1335993,0.004324872978031635
bert,leftward,german,2,3,10,1335993,7.4850690907624085e-06
bert,leftward,german,2,4,154145,1335993,0.11537859588861465
bert,leftward,german,2,5,7774,1335993,0.005818892735987902
bert,leftward,german,2,6,0,1335993,0.0
bert,leftward,german,2,7,58061,1335993,0.04345906153321266
bert,leftward,german,2,8,556,1335993,0.00041616984526626766
bert,leftward,german,2,9,1096,1335993,0.0008203635807149112
bert,leftward,german,2,10,98528,1335993,0.0737488865852356
bert,leftward,german,2,11,94,1335993,7.035965245449916e-05
bert,leftward,german,3,0,220543,1335993,0.16507795453071594
bert,leftward,german,3,1,21808,1335993,0.01632343791425228
bert,leftward,german,3,2,29156,1335993,0.021823467686772346
bert,leftward,german,3,3,2679,1335993,0.00200524996034801
bert,leftward,german,3,4,97740,1335993,0.07315906882286072
bert,leftward,german,3,5,142995,1335993,0.10703274607658386
bert,leftward,german,3,6,192428,1335993,0.14403368532657623
bert,leftward,german,3,7,22098,1335993,0.01654050499200821
bert,leftward,german,3,8,119029,1335993,0.08909402787685394
bert,leftward,german,3,9,213,1335993,0.00015943197649903595
bert,leftward,german,3,10,2791,1335993,0.0020890827290713787
bert,leftward,german,3,11,1429,1335993,0.0010696164099499583
bert,leftward,german,4,0,124284,1335993,0.09302743524312973
bert,leftward,german,4,1,26848,1335993,0.020095914602279663
bert,leftward,german,4,2,184733,1335993,0.1382739245891571
bert,leftward,german,4,3,50352,1335993,0.03768882155418396
bert,leftward,german,4,4,36388,1335993,0.02723667025566101
bert,leftward,german,4,5,6144,1335993,0.004598826635628939
bert,leftward,german,4,6,170847,1335993,0.12788015604019165
bert,leftward,german,4,7,54697,1335993,0.04094108194112778
bert,leftward,german,4,8,3835,1335993,0.0028705240692943335
bert,leftward,german,4,9,12298,1335993,0.009205138310790062
bert,leftward,german,4,10,17832,1335993,0.013347375206649303
bert,leftward,german,4,11,19436,1335993,0.014547980390489101
bert,leftward,german,5,0,164,1335993,0.00012275514018256217
bert,leftward,german,5,1,33525,1335993,0.025093695148825645
bert,leftward,german,5,2,14695,1335993,0.01099930889904499
bert,leftward,german,5,3,71873,1335993,0.053797438740730286
bert,leftward,german,5,4,88151,1335993,0.06598163396120071
bert,leftward,german,5,5,59272,1335993,0.04436550289392471
bert,leftward,german,5,6,6745,1335993,0.0050486791878938675
bert,leftward,german,5,7,138,1335993,0.00010329395445296541
bert,leftward,german,5,8,53739,1335993,0.04022401198744774
bert,leftward,german,5,9,90796,1335993,0.0679614320397377
bert,leftward,german,5,10,103818,1335993,0.07770849019289017
bert,leftward,german,5,11,1568,1335993,0.0011736588785424829
bert,leftward,german,6,0,133757,1335993,0.10011804103851318
bert,leftward,german,6,1,89797,1335993,0.06721367686986923
bert,leftward,german,6,2,66503,1335993,0.04977795481681824
bert,leftward,german,6,3,6029,1335993,0.0045127482153475285
bert,leftward,german,6,4,83951,1335993,0.06283790618181229
bert,leftward,german,6,5,60,1335993,4.491041545406915e-05
