model,direction,language,layer,head,correct,total,accuracy
bert,leftward,russian,0,0,54954,1374674,0.03997602313756943
bert,leftward,russian,0,1,74534,1374674,0.05421939864754677
bert,leftward,russian,0,2,119274,1374674,0.08676529675722122
bert,leftward,russian,0,3,198537,1374674,0.14442478120326996
bert,leftward,russian,0,4,74013,1374674,0.05384040251374245
bert,leftward,russian,0,5,128673,1374674,0.09360255300998688
bert,leftward,russian,0,6,84306,1374674,0.061327993869781494
bert,leftward,russian,0,7,64725,1374674,0.04708389192819595
bert,leftward,russian,0,8,28611,1374674,0.020812934264540672
bert,leftward,russian,0,9,314956,1374674,0.22911323606967926
bert,leftward,russian,0,10,131397,1374674,0.09558411687612534
bert,leftward,russian,0,11,131793,1374674,0.0958721861243248
bert,leftward,russian,1,0,998,1374674,0.0007259903359226882
bert,leftward,russian,1,1,5636,1374674,0.004099881276488304
bert,leftward,russian,1,2,0,1374674,0.0
bert,leftward,russian,1,3,2999,1374674,0.0021816082298755646
bert,leftward,russian,1,4,61225,1374674,0.04453783109784126
bert,leftward,russian,1,5,47027,1374674,0.034209564328193665
bert,leftward,russian,1,6,2954,1374674,0.002148873172700405
bert,leftward,russian,1,7,49807,1374674,0.036231864243745804
bert,leftward,russian,1,8,63,1374674,4.5829048758605495e-05
bert,leftward,russian,1,9,562,1374674,0.0004088242130819708
bert,leftward,russian,1,10,2802,1374674,0.002038301434367895
bert,leftward,russian,1,11,67144,1374674,0.04884358122944832
bert,leftward,russian,2,0,6576,1374674,0.004783679731190205
bert,leftward,russian,2,1,1,1374674,7.274451832017803e-07
bert,leftward,russian,2,2,49622,1374674,0.03609728440642357
bert,leftward,russian,2,3,5551,1374674,0.004038048442453146
bert,leftward,russian,2,4,301,1374674,0.00021896100952289999
bert,leftward,russian,2,5,101926,1374674,0.07414557784795761
bert,leftward,russian,2,6,39097,1374674,0.028440924361348152
bert,leftward,russian,2,7,417826,1374674,0.30394551157951355
bert,leftward,russian,2,8,31,1374674,2.255080107715912e-05
bert,leftward,russian,2,9,933,1374674,0.0006787063903175294
bert,leftward,russian,2,10,470,1374674,0.0003418992564547807
bert,leftward,russian,2,11,1,1374674,7.274451832017803e-07
bert,leftward,russian,3,0,1400,1374674,0.001018423237837851
bert,leftward,russian,3,1,47445,1374674,0.03451363742351532
bert,leftward,russian,3,2,540,1374674,0.0003928203950636089
bert,leftward,russian,3,3,8,1374674,5.8195614656142425e-06
bert,leftward,russian,3,4,99020,1374674,0.07203162461519241
bert,leftward,russian,3,5,81653,1374674,0.05939808115363121
bert,leftward,russian,3,6,7146,1374674,0.005198323167860508
bert,leftward,russian,3,7,401309,1374674,0.29193031787872314
bert,leftward,russian,3,8,11140,1374674,0.008103739470243454
bert,leftward,russian,3,9,325,1374674,0.00023641968437004834
bert,leftward,russian,3,10,0,1374674,0.0
bert,leftward,russian,3,11,12931,1374674,0.00940659362822771
bert,leftward,russian,4,0,31,1374674,2.255080107715912e-05
bert,leftward,russian,4,1,15846,1374674,0.01152709685266018
bert,leftward,russian,4,2,143535,1374674,0.10441384464502335
bert,leftward,russian,4,3,2635,1374674,0.0019168180879205465
bert,leftward,russian,4,4,33695,1374674,0.024511266499757767
bert,leftward,russian,4,5,250,1374674,0.00018186129454988986
bert,leftward,russian,4,6,2575,1374674,0.0018731714226305485
bert,leftward,russian,4,7,5334,1374674,0.003880192758515477
bert,leftward,russian,4,8,480248,1374674,0.349354088306427
bert,leftward,russian,4,9,38172,1374674,0.02776803821325302
bert,leftward,russian,4,10,464606,1374674,0.337975412607193
bert,leftward,russian,4,11,2697,1374674,0.0019619197119027376
bert,leftward,russian,5,0,73373,1374674,0.05337483808398247
bert,leftward,russian,5,1,141297,1374674,0.10278582572937012
bert,leftward,russian,5,2,14190,1374674,0.010322446934878826
bert,leftward,russian,5,3,2208,1374674,0.0016061989590525627
bert,leftward,russian,5,4,373774,1374674,0.27190008759498596
bert,leftward,russian,5,5,411933,1374674,0.2996586859226227
bert,leftward,russian,5,6,308372,1374674,0.22432373464107513
bert,leftward,russian,5,7,4979,1374674,0.0036219495814293623
bert,leftward,russian,5,8,67086,1374674,0.04880138859152794
bert,leftward,russian,5,9,21522,1374674,0.01565607637166977
bert,leftward,russian,5,10,541111,1374674,0.3936285972595215
bert,leftward,russian,5,11,63019,1374674,0.045842867344617844
bert,leftward,russian,6,0,50789,1374674,0.036946214735507965
bert,leftward,russian,6,1,3342,1374674,0.002431121887639165
bert,leftward,russian,6,2,105538,1374674,0.07677311450242996
bert,leftward,russian,6,3,93278,1374674,0.0678546354174614
bert,leftward,russian,6,4,416423,1374674,0.30292490124702454
bert,leftward,russian,6,5,33555,1374674,0.024409424513578415
bert,leftward,russian,6,6,17516,1374674,0.012741929851472378
bert,leftward,russian,6,7,482885,1374674,0.3512723743915558
bert,leftward,russian,6,8,136432,1374674,0.0992467999458313
bert,leftward,russian,6,9,672,1374674,0.0004888431867584586
bert,leftward,russian,6,10,268867,1374674,0.19558601081371307
bert,leftward,russian,6,11,8667,1374674,0.006304767448455095
bert,leftward,russian,7,0,11830,1374674,0.00860567670315504
bert,leftward,russian,7,1,73377,1374674,0.053377747535705566
bert,leftward,russian,7,2,117672,1374674,0.08559992909431458
bert,leftward,russian,7,3,319046,1374674,0.23208847641944885
bert,leftward,russian,7,4,1346,1374674,0.0009791412157937884
bert,leftward,russian,7,5,120345,1374674,0.08754438906908035
bert,leftward,russian,7,6,265031,1374674,0.192795529961586
bert,leftward,russian,7,7,14762,1374674,0.010738546028733253
bert,leftward,russian,7,8,186420,1374674,0.13561032712459564
bert,leftward,russian,7,9,23192,1374674,0.016870908439159393
bert,leftward,russian,7,10,29731,1374674,0.021627673879265785
bert,leftward,russian,7,11,426,1374674,0.0003098916495218873
bert,leftward,russian,8,0,3850,1374674,0.002800663933157921
bert,leftward,russian,8,1,126630,1374674,0.09211638569831848
bert,leftward,russian,8,2,366673,1374674,0.2667345106601715
bert,leftward,russian,8,3,68795,1374674,0.05004459246993065
bert,leftward,russian,8,4,287227,1374674,0.20894190669059753
bert,leftward,russian,8,5,199,1374674,0.00014476159412879497
bert,leftward,russian,8,6,68350,1374674,0.0497208796441555
bert,leftward,russian,8,7,3459,1374674,0.0025162328965961933
bert,leftward,russian,8,8,17817,1374674,0.012960891239345074
bert,leftward,russian,8,9,66706,1374674,0.04852496087551117
bert,leftward,russian,8,10,8265,1374674,0.006012334488332272
bert,leftward,russian,8,11,10899,1374674,0.007928425446152687
