model,direction,language,layer,head,correct,total,accuracy
bert,leftward,turkish,0,0,68749,1190043,0.05777018144726753
bert,leftward,turkish,0,1,153366,1190043,0.12887433171272278
bert,leftward,turkish,0,2,53058,1190043,0.04458494484424591
bert,leftward,turkish,0,3,42635,1190043,0.035826437175273895
bert,leftward,turkish,0,4,244634,1190043,0.2055673599243164
bert,leftward,turkish,0,5,46164,1190043,0.038791876286268234
bert,leftward,turkish,0,6,49694,1190043,0.04175815358757973
bert,leftward,turkish,0,7,61225,1190043,0.05144771933555603
bert,leftward,turkish,0,8,9833,1190043,0.008262726478278637
bert,leftward,turkish,0,9,76650,1190043,0.06440943479537964
bert,leftward,turkish,0,10,38292,1190043,0.03217699006199837
bert,leftward,turkish,0,11,46129,1190043,0.03876246511936188
bert,leftward,turkish,1,0,10399,1190043,0.008738339878618717
bert,leftward,turkish,1,1,376,1190043,0.00031595496693626046
bert,leftward,turkish,1,2,14646,1190043,0.012307118624448776
bert,leftward,turkish,1,3,101823,1190043,0.08556245267391205
bert,leftward,turkish,1,4,25044,1190043,0.021044617518782616
bert,leftward,turkish,1,5,4817,1190043,0.004047752823680639
bert,leftward,turkish,1,6,221272,1190043,0.18593613803386688
bert,leftward,turkish,1,7,53194,1190043,0.04469922557473183
bert,leftward,turkish,1,8,82086,1190043,0.06897734105587006
bert,leftward,turkish,1,9,4262,1190043,0.003581383265554905
bert,leftward,turkish,1,10,48778,1190043,0.040988434106111526
bert,leftward,turkish,1,11,12245,1190043,0.010289544239640236
bert,leftward,turkish,2,0,24112,1190043,0.020261453464627266
bert,leftward,turkish,2,1,90,1190043,7.56275185267441e-05
bert,leftward,turkish,2,2,249022,1190043,0.20925462245941162
bert,leftward,turkish,2,3,29220,1190043,0.024553734809160233
bert,leftward,turkish,2,4,443,1190043,0.0003722554538398981
bert,leftward,turkish,2,5,3266,1190043,0.0027444385923445225
bert,leftward,turkish,2,6,3836,1190043,0.0032234129030257463
bert,leftward,turkish,2,7,19654,1190043,0.016515370458364487
bert,leftward,turkish,2,8,13,1190043,1.0923975423793308e-05
bert,leftward,turkish,2,9,140686,1190043,0.11821925640106201
bert,leftward,turkish,2,10,91,1190043,7.646782614756376e-05
bert,leftward,turkish,2,11,46208,1190043,0.03882884979248047
bert,leftward,turkish,3,0,260216,1190043,0.21866101026535034
bert,leftward,turkish,3,1,0,1190043,0.0
bert,leftward,turkish,3,2,1284,1190043,0.001078952569514513
bert,leftward,turkish,3,3,4206,1190043,0.003534326096996665
bert,leftward,turkish,3,4,4,1190043,3.3612229799473425e-06
bert,leftward,turkish,3,5,147,1190043,0.000123524951050058
bert,leftward,turkish,3,6,182099,1190043,0.15301884710788727
bert,leftward,turkish,3,7,47,1190043,3.949437086703256e-05
bert,leftward,turkish,3,8,27,1190043,2.268825664941687e-05
bert,leftward,turkish,3,9,178117,1190043,0.1496727466583252
bert,leftward,turkish,3,10,13429,1190043,0.01128446590155363
bert,leftward,turkish,3,11,234446,1190043,0.19700632989406586
bert,leftward,turkish,4,0,315105,1190043,0.2647845447063446
bert,leftward,turkish,4,1,281,1190043,0.0002361259248573333
bert,leftward,turkish,4,2,7169,1190043,0.006024152040481567
bert,leftward,turkish,4,3,147276,1190043,0.12375687062740326
bert,leftward,turkish,4,4,4096,1190043,0.0034418923314660788
bert,leftward,turkish,4,5,37261,1190043,0.031310632824897766
bert,leftward,turkish,4,6,914,1190043,0.0007680394919589162
