language,layer,method,correct,total,accuracy
english,0,layer_averaged,301336,1679481,0.17942209527824368
english,0,max_pooled,141537,1679481,0.08427424900906887
english,0,top_1_rank,301336,1679481,0.17942209527824368
english,0,top_3_rank,643505,1679481,0.38315705863894856
english,0,top_5_rank,868358,1679481,0.5170394901758341
english,0,top_10_rank,1197836,1679481,0.7132179524507869
english,1,layer_averaged,3829,1679481,0.0022798709839527806
english,1,max_pooled,46750,1679481,0.027835980282003785
english,1,top_1_rank,3829,1679481,0.0022798709839527806
english,1,top_3_rank,378794,1679481,0.22554229550676666
english,1,top_5_rank,570853,1679481,0.3398984567256194
english,1,top_10_rank,1004608,1679481,0.5981657428693745
english,2,layer_averaged,3,1679481,1.7862661143531842e-06
english,2,max_pooled,3,1679481,1.7862661143531842e-06
english,2,top_1_rank,3,1679481,1.7862661143531842e-06
english,2,top_3_rank,29500,1679481,0.017564950124472976
english,2,top_5_rank,169504,1679481,0.10092641714910737
english,2,top_10_rank,699380,1679481,0.4164262650187766
english,3,layer_averaged,14430,1679481,0.008591940010038816
english,3,max_pooled,302796,1679481,0.18029141145389557
english,3,top_1_rank,14430,1679481,0.008591940010038816
english,3,top_3_rank,318364,1679481,0.18956094174331237
english,3,top_5_rank,664917,1679481,0.3959062353191254
english,3,top_10_rank,1044872,1679481,0.6221398158121467
english,4,layer_averaged,1,1679481,5.95422038117728e-07
english,4,max_pooled,5072,1679481,0.0030199805773331164
english,4,top_1_rank,1,1679481,5.95422038117728e-07
english,4,top_3_rank,375226,1679481,0.22341782967476262
english,4,top_5_rank,680195,1679481,0.405003093217488
english,4,top_10_rank,1174710,1679481,0.6994482223972763
english,5,layer_averaged,22,1679481,1.3099284838590017e-05
english,5,max_pooled,2352,1679481,0.0014004326336528963
english,5,top_1_rank,22,1679481,1.3099284838590017e-05
english,5,top_3_rank,326124,1679481,0.19418141675910594
english,5,top_5_rank,708130,1679481,0.42163620785230677
english,5,top_10_rank,1135083,1679481,0.6758534332927851
english,6,layer_averaged,508,1679481,0.0003024743953638058
english,6,max_pooled,138871,1679481,0.08268685385544701
english,6,top_1_rank,508,1679481,0.0003024743953638058
english,6,top_3_rank,788055,1679481,0.46922531424886615
english,6,top_5_rank,1060221,1679481,0.6312789486752157
english,6,top_10_rank,1364792,1679481,0.8126272342467703
english,7,layer_averaged,295,1679481,0.00017564950124472978
english,7,max_pooled,57630,1679481,0.034314172056724664
english,7,top_1_rank,295,1679481,0.00017564950124472978
english,7,top_3_rank,607687,1679481,0.3618302320776478
english,7,top_5_rank,847819,1679481,0.504810116934934
english,7,top_10_rank,1184812,1679481,0.7054631758263415
english,8,layer_averaged,5,1679481,2.97711019058864e-06
english,8,max_pooled,8267,1679481,0.004922353989119258
english,8,top_1_rank,5,1679481,2.97711019058864e-06
english,8,top_3_rank,714859,1679481,0.42564280274680094
english,8,top_5_rank,983382,1679481,0.5855273146882877
english,8,top_10_rank,1343515,1679481,0.7999584395417394
english,9,layer_averaged,65,1679481,3.870243247765232e-05
english,9,max_pooled,3444,1679481,0.0020506334992774554
english,9,top_1_rank,65,1679481,3.870243247765232e-05
english,9,top_3_rank,273817,1679481,0.16303667621128193
english,9,top_5_rank,551819,1679481,0.3285651936520866
english,9,top_10_rank,1085538,1679481,0.6463532484142422
english,10,layer_averaged,107,1679481,6.37101580785969e-05
english,10,max_pooled,7511,1679481,0.004472214928302255
english,10,top_1_rank,107,1679481,6.37101580785969e-05
english,10,top_3_rank,50011,1679481,0.029777651548305698
english,10,top_5_rank,345396,1679481,0.2056563902777108
english,10,top_10_rank,1009596,1679481,0.6011357079955058
english,11,layer_averaged,14,1679481,8.335908533648193e-06
english,11,max_pooled,384,1679481,0.00022864206263720758
english,11,top_1_rank,14,1679481,8.335908533648193e-06
english,11,top_3_rank,11288,1679481,0.006721123966272914
english,11,top_5_rank,203445,1679481,0.12113563654486117
english,11,top_10_rank,824919,1679481,0.4911749522620381
