language,layer,method,correct,total,accuracy
german,0,layer_averaged,171681,1335993,0.12850441581654995
german,0,max_pooled,116172,1335993,0.08695554542576196
german,0,top_1_rank,171681,1335993,0.12850441581654995
german,0,top_3_rank,404655,1335993,0.30288706602504656
german,0,top_5_rank,581584,1335993,0.4353196461358705
german,0,top_10_rank,877446,1335993,0.656774399267062
german,1,layer_averaged,55617,1335993,0.041629709137697576
german,1,max_pooled,267268,1335993,0.20005194637995857
german,1,top_1_rank,55617,1335993,0.041629709137697576
german,1,top_3_rank,306184,1335993,0.22918084151638518
german,1,top_5_rank,434557,1335993,0.3252689198221847
german,1,top_10_rank,744308,1335993,0.5571196855073343
german,2,layer_averaged,2248,1335993,0.0016826435467850506
german,2,max_pooled,2,1335993,1.4970138316592975e-06
german,2,top_1_rank,2248,1335993,0.0016826435467850506
german,2,top_3_rank,90124,1335993,0.06745843728223128
german,2,top_5_rank,259185,1335993,0.19400176497930752
german,2,top_10_rank,674619,1335993,0.5049569870500819
german,3,layer_averaged,25688,1335993,0.019227645653832018
german,3,max_pooled,113846,1335993,0.0852145183395422
german,3,top_1_rank,25688,1335993,0.019227645653832018
german,3,top_3_rank,161223,1335993,0.12067653049080347
german,3,top_5_rank,361996,1335993,0.27095650950266953
german,3,top_10_rank,787387,1335993,0.5893646149343597
german,4,layer_averaged,22029,1335993,0.016488858848811332
german,4,max_pooled,110109,1335993,0.0824173479950868
german,4,top_1_rank,22029,1335993,0.016488858848811332
german,4,top_3_rank,188327,1335993,0.14096406193745026
german,4,top_5_rank,355241,1335993,0.2659003452862403
german,4,top_10_rank,766288,1335993,0.57357186751727
german,5,layer_averaged,2890,1335993,0.002163184986747685
german,5,max_pooled,39397,1335993,0.029488926962940674
german,5,top_1_rank,2890,1335993,0.002163184986747685
german,5,top_3_rank,145360,1335993,0.10880296528499775
german,5,top_5_rank,324720,1335993,0.24305516570820357
german,5,top_10_rank,771396,1335993,0.5773952408433277
german,6,layer_averaged,10158,1335993,0.007603333250997573
german,6,max_pooled,79123,1335993,0.0592241127011893
german,6,top_1_rank,10158,1335993,0.007603333250997573
german,6,top_3_rank,354170,1335993,0.2650986943793867
german,6,top_5_rank,560953,1335993,0.41987719995538897
german,6,top_10_rank,925869,1335993,0.6930193496522811
german,7,layer_averaged,4645,1335993,0.003476814624028719
german,7,max_pooled,163967,1335993,0.12273043346784003
german,7,top_1_rank,4645,1335993,0.003476814624028719
german,7,top_3_rank,310725,1335993,0.23257981142116763
german,7,top_5_rank,485113,1335993,0.3631104354588684
german,7,top_10_rank,863937,1335993,0.6466628193411194
german,8,layer_averaged,118,1335993,8.832381606789856e-05
german,8,max_pooled,18131,1335993,0.013571178890907363
german,8,top_1_rank,118,1335993,8.832381606789856e-05
german,8,top_3_rank,184356,1335993,0.13799174097469075
german,8,top_5_rank,393894,1335993,0.29483238310380366
german,8,top_10_rank,835481,1335993,0.6253633065442709
german,9,layer_averaged,315,1335993,0.00023577967848633938
german,9,max_pooled,18133,1335993,0.013572675904739023
german,9,top_1_rank,315,1335993,0.00023577967848633938
german,9,top_3_rank,390973,1335993,0.2926459944026653
german,9,top_5_rank,643607,1335993,0.4817442905763728
german,9,top_10_rank,1009888,1335993,0.7559081522133724
german,10,layer_averaged,60,1335993,4.4910414949778926e-05
german,10,max_pooled,1175,1335993,0.0008794956260998373
german,10,top_1_rank,60,1335993,4.4910414949778926e-05
german,10,top_3_rank,196812,1335993,0.14731514311826485
german,10,top_5_rank,480562,1335993,0.3597039804849277
german,10,top_10_rank,971274,1335993,0.7270053061655263
german,11,layer_averaged,101,1335993,7.559919849879453e-05
german,11,max_pooled,2019,1335993,0.0015112354630600609
german,11,top_1_rank,101,1335993,7.559919849879453e-05
german,11,top_3_rank,191875,1335993,0.14361976447481387
german,11,top_5_rank,494279,1335993,0.36997124984936297
german,11,top_10_rank,937424,1335993,0.7016683470646927
