language,layer,method,correct,total,accuracy
russian,0,layer_averaged,246158,1374674,0.17906645502861043
russian,0,max_pooled,244791,1374674,0.17807203744305922
russian,0,top_1_rank,246158,1374674,0.17906645502861043
russian,0,top_3_rank,525373,1374674,0.38218006596473053
russian,0,top_5_rank,719009,1374674,0.523039644308396
russian,0,top_10_rank,1042099,1374674,0.7580699133030813
russian,1,layer_averaged,4,1374674,2.90978079166406e-06
russian,1,max_pooled,0,1374674,0.0
russian,1,top_1_rank,4,1374674,2.90978079166406e-06
russian,1,top_3_rank,149708,1374674,0.10890436568961077
russian,1,top_5_rank,359209,1374674,0.26130486209821385
russian,1,top_10_rank,831624,1374674,0.6049608852717081
russian,2,layer_averaged,11,1374674,8.001897177076165e-06
russian,2,max_pooled,45067,1374674,0.03278377273448105
russian,2,top_1_rank,11,1374674,8.001897177076165e-06
russian,2,top_3_rank,491459,1374674,0.3575094895226068
russian,2,top_5_rank,736570,1374674,0.5358143094289992
russian,2,top_10_rank,1093820,1374674,0.7956941063844956
russian,3,layer_averaged,78,1374674,5.674072543744917e-05
russian,3,max_pooled,3523,1374674,0.002562789432258121
russian,3,top_1_rank,78,1374674,5.674072543744917e-05
russian,3,top_3_rank,146259,1374674,0.10639540720199844
russian,3,top_5_rank,501994,1374674,0.365173124682652
russian,3,top_10_rank,1099479,1374674,0.7998107187595023
russian,4,layer_averaged,84,1374674,6.110539662494525e-05
russian,4,max_pooled,78105,1374674,0.05681710718323035
russian,4,top_1_rank,84,1374674,6.110539662494525e-05
russian,4,top_3_rank,712524,1374674,0.5183221621999107
russian,4,top_5_rank,947367,1374674,0.6891575748141013
russian,4,top_10_rank,1221222,1374674,0.8883720794893917
russian,5,layer_averaged,294373,1374674,0.21414022524613108
russian,5,max_pooled,538412,1374674,0.39166522390035746
russian,5,top_1_rank,294373,1374674,0.21414022524613108
russian,5,top_3_rank,714148,1374674,0.5195035332013263
russian,5,top_5_rank,937419,1374674,0.6819209499852329
russian,5,top_10_rank,1220751,1374674,0.8880294528011732
russian,6,layer_averaged,132642,1374674,0.09648978594197606
russian,6,max_pooled,97635,1374674,0.07102411189853013
russian,6,top_1_rank,132642,1374674,0.09648978594197606
russian,6,top_3_rank,612197,1374674,0.44533976782859064
russian,6,top_5_rank,913985,1374674,0.664873999217269
russian,6,top_10_rank,1248158,1374674,0.9079665433404575
russian,7,layer_averaged,51163,1374674,0.03721827866097707
russian,7,max_pooled,68565,1374674,0.049877279995111566
russian,7,top_1_rank,51163,1374674,0.03721827866097707
russian,7,top_3_rank,535933,1374674,0.38986188725472365
russian,7,top_5_rank,860242,1374674,0.6257789119456686
russian,7,top_10_rank,1227284,1374674,0.8927818522791585
russian,8,layer_averaged,10792,1374674,0.007850588575909635
russian,8,max_pooled,70330,1374674,0.05116122076943334
russian,8,top_1_rank,10792,1374674,0.007850588575909635
russian,8,top_3_rank,658504,1374674,0.47902557260848755
russian,8,top_5_rank,952074,1374674,0.692581659360692
russian,8,top_10_rank,1259967,1374674,0.9165569436826476
russian,9,layer_averaged,887,1374674,0.0006452438905515052
russian,9,max_pooled,4764,1374674,0.0034655489228718954
russian,9,top_1_rank,887,1374674,0.0006452438905515052
russian,9,top_3_rank,349051,1374674,0.25391547377778295
russian,9,top_5_rank,697361,1374674,0.5072919106639101
russian,9,top_10_rank,1178910,1374674,0.8575924182751692
russian,10,layer_averaged,842,1374674,0.0006125088566452847
russian,10,max_pooled,1927,1374674,0.0014017868963841608
russian,10,top_1_rank,842,1374674,0.0006125088566452847
russian,10,top_3_rank,243344,1374674,0.17701942424167474
russian,10,top_5_rank,644393,1374674,0.46876059342069465
russian,10,top_10_rank,1136568,1374674,0.8267909337050093
russian,11,layer_averaged,26,1374674,1.891357514581639e-05
russian,11,max_pooled,116,1374674,8.438364295825774e-05
russian,11,top_1_rank,26,1374674,1.891357514581639e-05
russian,11,top_3_rank,257161,1374674,0.18707053454128034
russian,11,top_5_rank,647445,1374674,0.47098075616473434
russian,11,top_10_rank,1108234,1374674,0.8061795014672569
