language,layer,method,correct,total,accuracy
turkish,0,layer_averaged,91600,1190043,0.07697200857448008
turkish,0,max_pooled,63481,1190043,0.05334345061480972
turkish,0,top_1_rank,91600,1190043,0.07697200857448008
turkish,0,top_3_rank,271323,1190043,0.22799428255953777
turkish,0,top_5_rank,443239,1190043,0.3724562893945849
turkish,0,top_10_rank,799299,1190043,0.67165556202591
turkish,1,layer_averaged,9453,1190043,0.007943410448193888
turkish,1,max_pooled,103185,1190043,0.0867069509253027
turkish,1,top_1_rank,9453,1190043,0.007943410448193888
turkish,1,top_3_rank,187803,1190043,0.15781194461040485
turkish,1,top_5_rank,357088,1190043,0.3000631069633618
turkish,1,top_10_rank,692568,1190043,0.5819688868385428
turkish,2,layer_averaged,1180,1190043,0.0009915608091472326
turkish,2,max_pooled,10314,1190043,0.008666913716563184
turkish,2,top_1_rank,1180,1190043,0.0009915608091472326
turkish,2,top_3_rank,60008,1190043,0.05042506867398909
turkish,2,top_5_rank,251560,1190043,0.21138731961786256
turkish,2,top_10_rank,624504,1190043,0.5247743148776977
turkish,3,layer_averaged,11432,1190043,0.009606375567941663
turkish,3,max_pooled,102226,1190043,0.08590109769142795
turkish,3,top_1_rank,11432,1190043,0.009606375567941663
turkish,3,top_3_rank,232022,1190043,0.19496942547454169
turkish,3,top_5_rank,383129,1190043,0.3219455095320085
turkish,3,top_10_rank,769897,1190043,0.6469488917627346
turkish,4,layer_averaged,4041,1190043,0.0033956756184440394
turkish,4,max_pooled,179109,1190043,0.15050632624199295
turkish,4,top_1_rank,4041,1190043,0.0033956756184440394
turkish,4,top_3_rank,158776,1190043,0.13342038901115338
turkish,4,top_5_rank,321066,1190043,0.2697936124997164
turkish,4,top_10_rank,820559,1190043,0.6895204627059695
turkish,5,layer_averaged,28125,1190043,0.023633599794293147
turkish,5,max_pooled,150634,1190043,0.12657861942803747
turkish,5,top_1_rank,28125,1190043,0.023633599794293147
turkish,5,top_3_rank,189165,1190043,0.15895644106977647
turkish,5,top_5_rank,508872,1190043,0.4276080780274326
turkish,5,top_10_rank,881765,1190043,0.7409522176929741
turkish,6,layer_averaged,23251,1190043,0.0195379494690528
turkish,6,max_pooled,268880,1190043,0.2259414155622948
turkish,6,top_1_rank,23251,1190043,0.0195379494690528
turkish,6,top_3_rank,145829,1190043,0.12254095020095912
turkish,6,top_5_rank,375383,1190043,0.31543650103399623
turkish,6,top_10_rank,799398,1190043,0.6717387522971859
turkish,7,layer_averaged,492,1190043,0.0004134304390681681
turkish,7,max_pooled,3829,1190043,0.003217530795105723
turkish,7,top_1_rank,492,1190043,0.0004134304390681681
turkish,7,top_3_rank,404103,1190043,0.33957008276171535
turkish,7,top_5_rank,628496,1190043,0.528128815513389
turkish,7,top_10_rank,933378,1190043,0.78432291942392
turkish,8,layer_averaged,3684,1190043,0.0030956864583884785
turkish,8,max_pooled,18561,1190043,0.01559691540557778
turkish,8,top_1_rank,3684,1190043,0.0030956864583884785
turkish,8,top_3_rank,395255,1190043,0.33213505730465204
turkish,8,top_5_rank,630829,1190043,0.5300892488758809
turkish,8,top_10_rank,928873,1190043,0.7805373419279807
turkish,9,layer_averaged,696,1190043,0.0005848528162427744
turkish,9,max_pooled,5349,1190043,0.004494795566210632
turkish,9,top_1_rank,696,1190043,0.0005848528162427744
turkish,9,top_3_rank,346478,1190043,0.29114746273874137
turkish,9,top_5_rank,608576,1190043,0.5113899245657509
turkish,9,top_10_rank,937597,1190043,0.7878681694695066
turkish,10,layer_averaged,781,1190043,0.0006562788067321937
turkish,10,max_pooled,2101,1190043,0.0017654824237443522
turkish,10,top_1_rank,781,1190043,0.0006562788067321937
turkish,10,top_3_rank,224072,1190043,0.1882889945993548
turkish,10,top_5_rank,554974,1190043,0.46634785465735273
turkish,10,top_10_rank,915787,1190043,0.769541100615692
turkish,11,layer_averaged,436,1190043,0.00036637331592219777
turkish,11,max_pooled,762,1190043,0.0006403129970933823
turkish,11,top_1_rank,436,1190043,0.00036637331592219777
turkish,11,top_3_rank,109906,1190043,0.0923546460085896
turkish,11,top_5_rank,386632,1190043,0.32488910064594306
turkish,11,top_10_rank,806069,1190043,0.6773444320919496
