language,layer,head,direction,correct,total,accuracy
english,0,0,nsubj_to_root,111721,1679481,0.06652114552055069
english,0,0,leftward,118969,1679481,0.07083676445282798
english,0,1,nsubj_to_root,153747,1679481,0.09154435209448633
english,0,1,leftward,150522,1679481,0.08962411602155666
english,0,2,nsubj_to_root,8668,1679481,0.0051611182264044665
english,0,2,leftward,264081,1679481,0.15723964724816775
english,0,3,nsubj_to_root,17103,1679481,0.010183503117927503
english,0,3,leftward,439189,1679481,0.2615028094988869
english,0,4,nsubj_to_root,153336,1679481,0.09129963363681995
english,0,4,leftward,38196,1679481,0.02274274016794474
english,0,5,nsubj_to_root,204252,1679481,0.12161614212962218
english,0,5,leftward,124665,1679481,0.07422828838194656
english,0,6,nsubj_to_root,87361,1679481,0.05201666467200284
english,0,6,leftward,69283,1679481,0.041252625066910555
english,0,7,nsubj_to_root,67335,1679481,0.04009274293665722
english,0,7,leftward,77538,1679481,0.0461678339915724
english,0,8,nsubj_to_root,381694,1679481,0.2272690194173081
english,0,8,leftward,91764,1679481,0.054638307905835196
english,0,9,nsubj_to_root,12876,1679481,0.007666654162803866
english,0,9,leftward,22989,1679481,0.01368815723428845
english,0,10,nsubj_to_root,484821,1679481,0.288673107942275
english,0,10,leftward,1497,1679481,0.0008913467910622388
english,0,11,nsubj_to_root,155633,1679481,0.09266731805837637
english,0,11,leftward,147161,1679481,0.08762290255144298
english,1,0,nsubj_to_root,64636,1679481,0.03848569885577747
english,1,0,leftward,48037,1679481,0.0286022884450613
english,1,1,nsubj_to_root,269170,1679481,0.16026975000014884
english,1,1,leftward,126,1679481,7.502317680283373e-05
english,1,2,nsubj_to_root,91217,1679481,0.054312612050984796
english,1,2,leftward,50803,1679481,0.030249225802494936
english,1,3,nsubj_to_root,24834,1679481,0.014786710894615657
english,1,3,leftward,14178,1679481,0.008441893656433148
english,1,4,nsubj_to_root,6886,1679481,0.004100076154478675
english,1,4,leftward,335133,1679481,0.19954557390050856
english,1,5,nsubj_to_root,44286,1679481,0.026368860380081703
english,1,5,leftward,48984,1679481,0.02916615311515879
english,1,6,nsubj_to_root,258,1679481,0.00015361888583437382
english,1,6,leftward,34,1679481,2.0244349296002754e-05
english,1,7,nsubj_to_root,55705,1679481,0.03316798463334804
english,1,7,leftward,57592,1679481,0.03429154601927619
english,1,8,nsubj_to_root,24141,1679481,0.014374083422200073
english,1,8,leftward,24962,1679481,0.014862924915494726
english,1,9,nsubj_to_root,624,1679481,0.0003715433517854623
english,1,9,leftward,1006,1679481,0.0005989945703464344
english,1,10,nsubj_to_root,17702,1679481,0.010540160918760021
english,1,10,leftward,163820,1679481,0.0975420382844462
english,1,11,nsubj_to_root,1430,1679481,0.0008514535145083511
english,1,11,leftward,2096,1679481,0.0012480045918947579
english,2,0,nsubj_to_root,518684,1679481,0.30883588441905563
english,2,0,leftward,0,1679481,0.0
english,2,1,nsubj_to_root,26947,1679481,0.01604483766115842
english,2,1,leftward,68041,1679481,0.04051311089556833
english,2,2,nsubj_to_root,2113,1679481,0.0012581267665427594
english,2,2,leftward,1692,1679481,0.0010074540884951958
english,2,3,nsubj_to_root,3893,1679481,0.002317977994392315
english,2,3,leftward,1361,1679481,0.0008103693938782279
english,2,4,nsubj_to_root,19475,1679481,0.011595844192342754
english,2,4,leftward,7877,1679481,0.004690139394253344
english,2,5,nsubj_to_root,1772,1679481,0.001055087851544614
english,2,5,leftward,813,1679481,0.0004840781169897129
english,2,6,nsubj_to_root,644,1679481,0.00038345179254781686
english,2,6,leftward,703,1679481,0.0004185816927967628
english,2,7,nsubj_to_root,30157,1679481,0.017956142403516326
english,2,7,leftward,29470,1679481,0.017547087463329444
english,2,8,nsubj_to_root,44634,1679481,0.026576067249346674
english,2,8,leftward,9323,1679481,0.005551119661371578
english,2,9,nsubj_to_root,518684,1679481,0.30883588441905563
english,2,9,leftward,0,1679481,0.0
english,2,10,nsubj_to_root,31344,1679481,0.01866290836276207
english,2,10,leftward,28811,1679481,0.017154704340209864
english,2,11,nsubj_to_root,261978,1679481,0.15598747470200616
english,2,11,leftward,27151,1679481,0.016166303756934435
english,3,0,nsubj_to_root,216,1679481,0.00012861116023342925
