language,layer,head,direction,correct,total,accuracy
german,0,0,nsubj_to_root,63579,1335993,0.04758932120153324
german,0,0,leftward,82174,1335993,0.06150780730138556
german,0,1,nsubj_to_root,100493,1335993,0.0752197054924689
german,0,1,leftward,200801,1335993,0.1503009372055093
german,0,2,nsubj_to_root,61982,1335993,0.04639395565695329
german,0,2,leftward,70312,1335993,0.052629018265814266
german,0,3,nsubj_to_root,88638,1335993,0.06634615600530841
german,0,3,leftward,66915,1335993,0.05008634027274095
german,0,4,nsubj_to_root,147587,1335993,0.11046989018655037
german,0,4,leftward,105437,1335993,0.07892032368433068
german,0,5,nsubj_to_root,66524,1335993,0.04979367406865156
german,0,5,leftward,47125,1335993,0.0352733884084722
german,0,6,nsubj_to_root,84754,1335993,0.06343895514422605
german,0,6,leftward,243664,1335993,0.18238418913871554
german,0,7,nsubj_to_root,185382,1335993,0.13875970907033194
german,0,7,leftward,66717,1335993,0.04993813590340668
german,0,8,nsubj_to_root,50536,1335993,0.037826545498367135
german,0,8,leftward,73604,1335993,0.05509310303272547
german,0,9,nsubj_to_root,117196,1335993,0.08772201650757153
german,0,9,leftward,98320,1335993,0.07359319996437107
german,0,10,nsubj_to_root,103917,1335993,0.07778259317226961
german,0,10,leftward,78407,1335993,0.058688181749455275
german,0,11,nsubj_to_root,188151,1335993,0.14083232472026425
german,0,11,leftward,102522,1335993,0.07673842602468725
german,1,0,nsubj_to_root,6687,1335993,0.005005265746152862
german,1,0,leftward,91298,1335993,0.06833718440141527
german,1,1,nsubj_to_root,53685,1335993,0.0401835937763147
german,1,1,leftward,71467,1335993,0.05349354375359751
german,1,2,nsubj_to_root,118593,1335993,0.08876768066898554
german,1,2,leftward,308794,1335993,0.23113444456670057
german,1,3,nsubj_to_root,57628,1335993,0.043134956545431
german,1,3,leftward,56196,1335993,0.04206309464196294
german,1,4,nsubj_to_root,190194,1335993,0.1423615243493042
german,1,4,leftward,10,1335993,7.4850691582964885e-06
german,1,5,nsubj_to_root,19956,1335993,0.014937204012296472
german,1,5,leftward,13636,1335993,0.010206640304253091
german,1,6,nsubj_to_root,84000,1335993,0.0628745809296905
german,1,6,leftward,73241,1335993,0.054821395022279305
german,1,7,nsubj_to_root,20906,1335993,0.015648285582334637
german,1,7,leftward,37429,1335993,0.028015865352587925
german,1,8,nsubj_to_root,69599,1335993,0.05209533283482773
german,1,8,leftward,47785,1335993,0.03576740297291977
german,1,9,nsubj_to_root,27407,1335993,0.020514329042143186
german,1,9,leftward,21765,1335993,0.016291253023032307
german,1,10,nsubj_to_root,24160,1335993,0.018083927086444317
german,1,10,leftward,25613,1335993,0.019171507635144795
german,1,11,nsubj_to_root,30548,1335993,0.022865389264764113
german,1,11,leftward,22672,1335993,0.016970148795689796
german,2,0,nsubj_to_root,60683,1335993,0.04542164517329058
german,2,0,leftward,40811,1335993,0.0305473157419238
german,2,1,nsubj_to_root,124,1335993,9.281485756287645e-05
german,2,1,leftward,110,1335993,8.233576074126137e-05
german,2,2,nsubj_to_root,7272,1335993,0.005443142291913206
german,2,2,leftward,5778,1335993,0.004324872959663711
german,2,3,nsubj_to_root,75182,1335993,0.05627424694590466
german,2,3,leftward,10,1335993,7.4850691582964885e-06
german,2,4,nsubj_to_root,86923,1335993,0.06506246664466056
german,2,4,leftward,154145,1335993,0.11537859854056122
german,2,5,nsubj_to_root,4135,1335993,0.0030950760969555976
german,2,5,leftward,7774,1335993,0.00581889276365969
german,2,6,nsubj_to_root,190200,1335993,0.1423660153907992
german,2,6,leftward,0,1335993,0.0
german,2,7,nsubj_to_root,6335,1335993,0.0047417913117808255
german,2,7,leftward,58061,1335993,0.04345906003998524
german,2,8,nsubj_to_root,554,1335993,0.0004146728313696254
german,2,8,leftward,556,1335993,0.00041616984520128475
german,2,9,nsubj_to_root,67798,1335993,0.05074727187941853
german,2,9,leftward,1096,1335993,0.0008203635797492951
german,2,10,nsubj_to_root,138052,1335993,0.10333287674411468
german,2,10,leftward,98528,1335993,0.07374888940286364
german,2,11,nsubj_to_root,86,1335993,6.43715947613498e-05
german,2,11,leftward,94,1335993,7.035965008798699e-05
german,3,0,nsubj_to_root,112975,1335993,0.08456256881585457
german,3,0,leftward,220543,1335993,0.16507796073781825
german,3,1,nsubj_to_root,41281,1335993,0.030899113992363732
german,3,1,leftward,21808,1335993,0.01632343882041298
german,3,2,nsubj_to_root,44171,1335993,0.03306229897911142
german,3,2,leftward,29156,1335993,0.02182346763792924
german,3,3,nsubj_to_root,126107,1335993,0.09439196163452952
german,3,3,leftward,2679,1335993,0.002005250027507629
german,3,4,nsubj_to_root,163801,1335993,0.12260618131981231
german,3,4,leftward,97740,1335993,0.07315906595318987
german,3,5,nsubj_to_root,232994,1335993,0.1743976203468132
german,3,5,leftward,142995,1335993,0.10703274642906063
german,3,6,nsubj_to_root,24157,1335993,0.018081681565696825
german,3,6,leftward,192428,1335993,0.14403368879926767
german,3,7,nsubj_to_root,14234,1335993,0.010654247439919221
german,3,7,leftward,22098,1335993,0.01654050582600358
german,3,8,nsubj_to_root,144399,1335993,0.10808365013888546
german,3,8,leftward,119029,1335993,0.08909402968428727
german,3,9,nsubj_to_root,314,1335993,0.00023503117157050972
german,3,9,leftward,213,1335993,0.0001594319730717152
german,3,10,nsubj_to_root,2022,1335993,0.00151348098380755
german,3,10,leftward,2791,1335993,0.00208908280208055
german,3,11,nsubj_to_root,1622,1335993,0.0012140782174756904
german,3,11,leftward,1429,1335993,0.0010696163827205681
german,4,0,nsubj_to_root,77866,1335993,0.058283239507991434
german,4,0,leftward,124284,1335993,0.09302743352697207
german,4,1,nsubj_to_root,35401,1335993,0.026497893327285398
german,4,1,leftward,26848,1335993,0.02009591367619441
german,4,2,nsubj_to_root,83633,1335993,0.06259987889158102
german,4,2,leftward,184733,1335993,0.1382739280819585
german,4,3,nsubj_to_root,46863,1335993,0.03507727959652483
german,4,3,leftward,50352,1335993,0.03768882022585448
german,4,4,nsubj_to_root,32610,1335993,0.024408810525204848
german,4,4,leftward,36388,1335993,0.027236669653209263
german,4,5,nsubj_to_root,5012,1335993,0.0037515166621381996
german,4,5,leftward,6144,1335993,0.004598826490857362
german,4,6,nsubj_to_root,64412,1335993,0.04821282746241934
german,4,6,leftward,170847,1335993,0.127880161048748
german,4,7,nsubj_to_root,105539,1335993,0.07899667138974531
german,4,7,leftward,54697,1335993,0.0409410827751343
german,4,8,nsubj_to_root,1595,1335993,0.0011938685307482898
german,4,8,leftward,3835,1335993,0.0028705240222067032
german,4,9,nsubj_to_root,26975,1335993,0.020190974054504776
german,4,9,leftward,12298,1335993,0.009205138050873021
german,4,10,nsubj_to_root,19677,1335993,0.014728370582779999
german,4,10,leftward,17832,1335993,0.013347375323074298
german,4,11,nsubj_to_root,25463,1335993,0.019059231597770347
german,4,11,leftward,19436,1335993,0.014547980416065054
german,5,0,nsubj_to_root,372,1335993,0.00027844457268862935
german,5,0,leftward,164,1335993,0.0001227551341960624
german,5,1,nsubj_to_root,152684,1335993,0.1142850299365341
german,5,1,leftward,33525,1335993,0.025093694353188978
german,5,2,nsubj_to_root,25287,1335993,0.01892749438058433
german,5,2,leftward,14695,1335993,0.01099930912811669
german,5,3,nsubj_to_root,21031,1335993,0.015741848946813346
german,5,3,leftward,71873,1335993,0.05379743756142435
german,5,4,nsubj_to_root,93865,1335993,0.07025860165434998
german,5,4,leftward,88151,1335993,0.06598163313729938
german,5,5,nsubj_to_root,31915,1335993,0.02388859821870324
german,5,5,leftward,59272,1335993,0.04436550191505494
german,5,6,nsubj_to_root,535,1335993,0.0004004511999688621
german,5,6,leftward,6745,1335993,0.005048679147270981
german,5,7,nsubj_to_root,147,1335993,0.00011003051662695838
german,5,7,leftward,138,1335993,0.00010329395438449154
german,5,8,nsubj_to_root,63841,1335993,0.04778543001348061
german,5,8,leftward,53739,1335993,0.0402240131497695
german,5,9,nsubj_to_root,140399,1335993,0.10508962247556686
german,5,9,leftward,90796,1335993,0.06796143392966879
german,5,10,nsubj_to_root,495,1335993,0.00037051092333567615
german,5,10,leftward,103818,1335993,0.07770849098760248
german,5,11,nsubj_to_root,9080,1335993,0.006796442795733211
german,5,11,leftward,1568,1335993,0.0011736588440208894
german,6,0,nsubj_to_root,77157,1335993,0.05775254810466821
german,6,0,leftward,133757,1335993,0.10011803954062634
german,6,1,nsubj_to_root,20721,1335993,0.015509811802906153
german,6,1,leftward,89797,1335993,0.06721367552075497
german,6,2,nsubj_to_root,208086,1335993,0.1557538100873283
german,6,2,leftward,66503,1335993,0.04977795542341913
german,6,3,nsubj_to_root,7266,1335993,0.005438651250418228
german,6,3,leftward,6029,1335993,0.0045127481955369525
german,6,4,nsubj_to_root,21355,1335993,0.01598436518754215
german,6,4,leftward,83951,1335993,0.06283790409081484
german,6,5,nsubj_to_root,37,1335993,2.7694755885697004e-05
german,6,5,leftward,60,1335993,4.4910414949778926e-05
german,6,6,nsubj_to_root,29166,1335993,0.02183095270708754
german,6,6,leftward,197864,1335993,0.14810257239371763
german,6,7,nsubj_to_root,9888,1335993,0.007401236383723567
german,6,7,leftward,13369,1335993,0.010006788957726574
german,6,8,nsubj_to_root,81816,1335993,0.061239841825518546
german,6,8,leftward,78579,1335993,0.05881692493897797
german,6,9,nsubj_to_root,213023,1335993,0.1594491887307793
german,6,9,leftward,40570,1335993,0.030366925575208852
german,6,10,nsubj_to_root,48562,1335993,0.03634899284651941
german,6,10,leftward,22159,1335993,0.016586164747869187
german,6,11,nsubj_to_root,50840,1335993,0.03805409160077935
german,6,11,leftward,239,1335993,0.00017889315288328606
german,7,0,nsubj_to_root,189211,1335993,0.14162574205104367
german,7,0,leftward,319,1335993,0.00023877370614965797
german,7,1,nsubj_to_root,22134,1335993,0.016567452074973447
german,7,1,leftward,123,1335993,9.206635064704681e-05
german,7,2,nsubj_to_root,60875,1335993,0.045565358501129874
german,7,2,leftward,38644,1335993,0.02892530125532095
german,7,3,nsubj_to_root,17353,1335993,0.012988840510391895
german,7,3,leftward,22530,1335993,0.01686386081364199
german,7,4,nsubj_to_root,19495,1335993,0.014592142324099003
german,7,4,leftward,24359,1335993,0.018232879962694414
german,7,5,nsubj_to_root,267859,1335993,0.2004943139672139
german,7,5,leftward,77526,1335993,0.058028747156609356
german,7,6,nsubj_to_root,14482,1335993,0.010839877155044975
german,7,6,leftward,57830,1335993,0.043286154942428594
german,7,7,nsubj_to_root,22539,1335993,0.016870597375884453
german,7,7,leftward,71835,1335993,0.05376899429862282
german,7,8,nsubj_to_root,118488,1335993,0.08868908744282343
german,7,8,leftward,308482,1335993,0.2309009104089617
german,7,9,nsubj_to_root,24492,1335993,0.018332431382499757
german,7,9,leftward,208,1335993,0.00015568943849256694
german,7,10,nsubj_to_root,5689,1335993,0.004258255844154872
german,7,10,leftward,4040,1335993,0.003023967939951781
german,7,11,nsubj_to_root,134,1335993,0.00010029992672117294
german,7,11,leftward,8514,1335993,0.00637278788137363
german,8,0,nsubj_to_root,9391,1335993,0.007029228446556232
german,8,0,leftward,55660,1335993,0.041661894935078256
german,8,1,nsubj_to_root,781,1335993,0.0005845839012629557
german,8,1,leftward,1596,1335993,0.0011946170376641195
german,8,2,nsubj_to_root,4802,1335993,0.0035943302098139737
german,8,2,leftward,62488,1335993,0.046772700156363096
german,8,3,nsubj_to_root,1592,1335993,0.001191623010000801
german,8,3,leftward,1566,1335993,0.00117216183018923
german,8,4,nsubj_to_root,69976,1335993,0.0523775199420955
german,8,4,leftward,158,1335993,0.00011826409270108451
german,8,5,nsubj_to_root,71302,1335993,0.05337004011248562
german,8,5,leftward,668,1335993,0.0005000026197742054
german,8,6,nsubj_to_root,5820,1335993,0.004356310250128556
german,8,6,leftward,832,1335993,0.0006227577539702678
german,8,7,nsubj_to_root,28566,1335993,0.021381848557589747
german,8,7,leftward,1412,1335993,0.001056891765151464
german,8,8,nsubj_to_root,3261,1335993,0.0024408810525204847
german,8,8,leftward,13,1335993,9.730589905785434e-06
german,8,9,nsubj_to_root,6409,1335993,0.004797180823552219
german,8,9,leftward,8018,1335993,0.006001528451122124
german,8,10,nsubj_to_root,86954,1335993,0.06508567035905129
german,8,10,leftward,133519,1335993,0.09993989489465888
german,8,11,nsubj_to_root,30548,1335993,0.022865389264764113
german,8,11,leftward,16790,1335993,0.012567431116779803
german,9,0,nsubj_to_root,2980,1335993,0.0022305506091723536
german,9,0,leftward,29908,1335993,0.022386344838633138
german,9,1,nsubj_to_root,16800,1335993,0.0125749161859381
german,9,1,leftward,28998,1335993,0.021705203545228157
german,9,2,nsubj_to_root,128186,1335993,0.09594810751253936
german,9,2,leftward,50131,1335993,0.037523400197456126
german,9,3,nsubj_to_root,77388,1335993,0.057925453202224864
german,9,3,leftward,43375,1335993,0.03246648747411102
german,9,4,nsubj_to_root,85895,1335993,0.06429300153518769
