language,layer,head,direction,correct,total,accuracy
russian,0,0,nsubj_to_root,49978,1374674,0.0363562561014466
russian,0,0,leftward,54954,1374674,0.039976023406276685
russian,0,1,nsubj_to_root,99260,1374674,0.07220621034514364
russian,0,1,leftward,74534,1374674,0.054219400381472264
russian,0,2,nsubj_to_root,177372,1374674,0.12902840964475942
russian,0,2,leftward,119274,1374674,0.08676529853623477
russian,0,3,nsubj_to_root,301784,1374674,0.21953132160788666
russian,0,3,leftward,198537,1374674,0.14442478725865188
russian,0,4,nsubj_to_root,92004,1374674,0.06692786798906504
russian,0,4,leftward,74013,1374674,0.05384040143335802
russian,0,5,nsubj_to_root,137579,1374674,0.10008118288408743
russian,0,5,leftward,128673,1374674,0.0936025559514474
russian,0,6,nsubj_to_root,358196,1374674,0.26056796011272493
russian,0,6,leftward,84306,1374674,0.06132799485550756
russian,0,7,nsubj_to_root,76543,1374674,0.055680837784085536
russian,0,7,leftward,64725,1374674,0.04708389043511407
russian,0,8,nsubj_to_root,33235,1374674,0.024176641152738758
russian,0,8,leftward,28611,1374674,0.020812934557575106
russian,0,9,nsubj_to_root,116713,1374674,0.08490231138437186
russian,0,9,leftward,314956,1374674,0.22911322975483642
russian,0,10,nsubj_to_root,174491,1374674,0.12693264002956337
russian,0,10,leftward,131397,1374674,0.09558411667057062
russian,0,11,nsubj_to_root,163069,1374674,0.11862376097896665
russian,0,11,leftward,131793,1374674,0.09587218496894537
russian,1,0,nsubj_to_root,380,1374674,0.0002764291752080857
russian,1,0,leftward,998,1374674,0.000725990307520183
russian,1,1,nsubj_to_root,5123,1374674,0.003726701748923745
russian,1,1,leftward,5636,1374674,0.00409988113545466
russian,1,2,nsubj_to_root,378617,1374674,0.27542311849936785
russian,1,2,leftward,0,1374674,0.0
russian,1,3,nsubj_to_root,4329,1374674,0.003149110261778429
russian,1,3,leftward,2999,1374674,0.002181608148550129
russian,1,4,nsubj_to_root,28683,1374674,0.020865310611825057
russian,1,4,leftward,61225,1374674,0.04453783224240802
russian,1,5,nsubj_to_root,36360,1374674,0.026449907396226307
russian,1,5,leftward,47027,1374674,0.03420956532239644
russian,1,6,nsubj_to_root,3151,1374674,0.0022921798186333634
russian,1,6,leftward,2954,1374674,0.0021488731146439084
russian,1,7,nsubj_to_root,47089,1374674,0.03425466692466723
russian,1,7,leftward,49807,1374674,0.03623186297260296
russian,1,8,nsubj_to_root,30,1374674,2.182335593748045e-05
russian,1,8,leftward,63,1374674,4.582904746870895e-05
russian,1,9,nsubj_to_root,355,1374674,0.0002582430452601853
russian,1,9,leftward,562,1374674,0.0004088242012288004
russian,1,10,nsubj_to_root,5933,1374674,0.004315932359235717
russian,1,10,leftward,2802,1374674,0.002038301444560674
russian,1,11,nsubj_to_root,5764,1374674,0.00419299412078791
russian,1,11,leftward,67144,1374674,0.04884358036887291
russian,2,0,nsubj_to_root,13286,1374674,0.009664836899512176
russian,2,0,leftward,6576,1374674,0.004783679621495715
russian,2,1,nsubj_to_root,86588,1374674,0.0629880247971519
russian,2,1,leftward,1,1374674,7.27445197916015e-07
russian,2,2,nsubj_to_root,23996,1374674,0.017455774969192695
russian,2,2,leftward,49622,1374674,0.036097285610988496
russian,2,3,nsubj_to_root,57190,1374674,0.041602590868816895
russian,2,3,leftward,5551,1374674,0.004038048293631799
russian,2,4,nsubj_to_root,1138,1374674,0.0008278326352284251
russian,2,4,leftward,301,1374674,0.0002189610045727205
