language,layer,head,direction,correct,total,accuracy
turkish,0,0,nsubj_to_root,109065,1190043,0.09164794885562959
turkish,0,0,leftward,68749,1190043,0.05777018141361279
turkish,0,1,nsubj_to_root,94537,1190043,0.07943998662233213
turkish,0,1,leftward,153366,1190043,0.12887433479294447
turkish,0,2,nsubj_to_root,67666,1190043,0.05686013026420054
turkish,0,2,leftward,53058,1190043,0.04458494356926598
turkish,0,3,nsubj_to_root,51104,1190043,0.042942986093779806
turkish,0,3,leftward,42635,1190043,0.03582643652372225
turkish,0,4,nsubj_to_root,143345,1190043,0.12045363066712715
turkish,0,4,leftward,244634,1190043,0.20556736185163058
turkish,0,5,nsubj_to_root,58201,1190043,0.048906636146761086
turkish,0,5,leftward,46164,1190043,0.038791875587688845
turkish,0,6,nsubj_to_root,40675,1190043,0.03417943721361329
turkish,0,6,leftward,49694,1190043,0.04175815495742591
turkish,0,7,nsubj_to_root,109918,1190043,0.09236472967783517
turkish,0,7,leftward,61225,1190043,0.05144772079664348
turkish,0,8,nsubj_to_root,3205,1190043,0.002693179994336339
turkish,0,8,leftward,9833,1190043,0.008262726640970117
turkish,0,9,nsubj_to_root,80021,1190043,0.06724210805828025
turkish,0,9,leftward,76650,1190043,0.06440943730604692
turkish,0,10,nsubj_to_root,50960,1190043,0.042821982062833025
turkish,0,10,leftward,38292,1190043,0.03217698856259816
turkish,0,11,nsubj_to_root,72669,1190043,0.06106418003383071
turkish,0,11,leftward,46129,1190043,0.03876246488572262
turkish,1,0,nsubj_to_root,6918,1190043,0.005813235320068266
turkish,1,0,leftward,10399,1190043,0.008738339707052602
turkish,1,1,nsubj_to_root,293,1190043,0.0002462095907458806
turkish,1,1,leftward,376,1190043,0.0003159549696943724
turkish,1,2,nsubj_to_root,6132,1190043,0.005152754984483754
turkish,1,2,leftward,14646,1190043,0.012307118314212176
turkish,1,3,nsubj_to_root,87080,1190043,0.07317382649198391
turkish,1,3,leftward,101823,1190043,0.08556245446593107
turkish,1,4,nsubj_to_root,15585,1190043,0.013096165432677644
turkish,1,4,leftward,25044,1190043,0.021044617715494315
turkish,1,5,nsubj_to_root,4890,1190043,0.004109095217567769
turkish,1,5,leftward,4817,1190043,0.004047752896323914
turkish,1,6,nsubj_to_root,16283,1190043,0.013682698860461345
turkish,1,6,leftward,221272,1190043,0.1859361384420563
turkish,1,7,nsubj_to_root,179176,1190043,0.150562626728614
turkish,1,7,leftward,53194,1190043,0.04469922515404905
turkish,1,8,nsubj_to_root,18917,1190043,0.01589606425986288
turkish,1,8,leftward,82086,1190043,0.0689773394742879
turkish,1,9,nsubj_to_root,4916,1190043,0.004130943167599826
turkish,1,9,leftward,4262,1190043,0.0035813831937165294
turkish,1,10,nsubj_to_root,20871,1190043,0.01753802173534906
