Item,Condition,Stimulus,NP_Number,Auxiliary,Full_Sentence,source_file,language,leftward_entropy,leftward_attn_diff,leftward_attn_to_head,leftward_attn_to_attractor,nsubj_entropy,nsubj_attn_diff,nsubj_attn_to_head,nsubj_attn_to_attractor,top5_layer,top5_entropy,top5_attn_diff,top5_attn_to_head,top5_attn_to_attractor,top5_head_in_top5
1,a,The cake at the senator’s celebration,singular,is,The cake at the senator’s celebration is delicious.,eng_syn_stimuli.csv,english,1.4188843,-0.4242248221882619,0.018364366923924534,0.4425891891121864,1.1576666,-0.039467562980717755,0.010619014218173534,0.05008657719889129,6,1.6232364,-0.09119945392012596,0.026125121861696243,0.1173245757818222,0.0
1,b,The cake at the senator’s celebration,singular,are,The cake at the senator’s celebration are delicious.,eng_syn_stimuli.csv,english,1.4793828,-0.4353147528017871,0.016335369006264956,0.4516501218080521,1.0685879,-0.033007141525656994,0.010314116816881736,0.04332125834253873,6,1.4762046,-0.08067266084253788,0.022875403985381126,0.103548064827919,0.0
1,c,The cake at the senators’ celebration,plural,is,The cake at the senators’ celebration is delicious.,eng_syn_stimuli.csv,english,1.1667753,-0.5166560279896657,0.011039639754017117,0.5276956677436828,1.1448177,-0.04305086669168605,0.009887541683588496,0.05293840837527455,6,1.6602817,-0.16351282224059105,0.024600211530923843,0.1881130337715149,0.0
1,d,The cake at the senators’ celebration,plural,are,The cake at the senators’ celebration are delicious.,eng_syn_stimuli.csv,english,1.1975838,-0.5267473255291406,0.010832204203325091,0.5375795297324657,1.061676,-0.03243300073217115,0.009450231203203563,0.04188323193537471,6,1.4711652,-0.14710933342576027,0.01980450376868248,0.16691383719444275,0.0
2,a,The call to the doctor’s secretary,singular,is,The call to the doctor’s secretary is urgent.,eng_syn_stimuli.csv,english,1.3321329,-0.5290037340077106,0.009842956945067271,0.5388466909527778,1.2366005,-0.03949260930899072,0.014630479467405167,0.05412308877639589,6,1.4414576,-0.09002340212464333,0.03683822974562645,0.12686163187026978,1.0
2,b,The call to the doctor’s secretary,singular,are,The call to the doctor’s secretary are urgent.,eng_syn_stimuli.csv,english,1.3674253,-0.5314774646889419,0.010969208227470518,0.5424466729164124,1.1638706,-0.03450921368107656,0.013241812761634447,0.04775102644271101,6,1.3807486,-0.08776330202817917,0.03563242405653,0.12339572608470917,1.0
2,c,The call to the doctors’ secretary,plural,is,The call to the doctors’ secretary is urgent.,eng_syn_stimuli.csv,english,1.2549477,-0.5391460738588648,0.013020810533635085,0.5521668843925,1.231753,-0.03180221720436442,0.01367261197367604,0.045474829178040466,6,1.4559939,-0.1651296205818653,0.023780327290296555,0.18890994787216187,0.0
2,d,The call to the doctors’ secretary,plural,are,The call to the doctors’ secretary are urgent.,eng_syn_stimuli.csv,english,1.2404811,-0.5535893185529858,0.01034304960630834,0.5639323681592942,1.1085227,-0.038261845247641556,0.010435764667735613,0.04869760991537717,6,1.4282378,-0.17801796831190586,0.019342219457030296,0.19736018776893616,0.0
3,a,The computer for the laboratory’s experiment,singular,is,The computer for the laboratory’s experiment is modern.,eng_syn_stimuli.csv,english,1.3870761,-0.44911312905533124,0.015310046845843316,0.46442317590117455,1.1351429,-0.034422225446356806,0.01292564965747604,0.04734787510383285,6,1.4703461,-0.1527178641408682,0.01460450328886509,0.16732236742973328,0.0
3,b,The computer for the laboratory’s experiment,singular,are,The computer for the laboratory’s experiment are modern.,eng_syn_stimuli.csv,english,1.3947378,-0.4579827175868559,0.015005204880435486,0.4729879224672914,1.1010058,-0.02854257979433179,0.012778576063881594,0.04132115585821339,6,1.409058,-0.1399400234222412,0.013679072260856628,0.15361909568309784,0.0
