item,condition,attractor,case,verb,sentence,source_file,language,leftward_entropy,leftward_attn_diff,leftward_attn_to_head,leftward_attn_to_attractor,nsubj_entropy,nsubj_attn_diff,nsubj_attn_to_head,nsubj_attn_to_attractor,top5_layer,top5_entropy,top5_attn_diff,top5_attn_to_head,top5_attn_to_attractor,top5_head_in_top5
1,amb_sg_sg,sg,amb,sg,Der Telephonanruf für die Studentin ist bekannt.,german_stimuli.csv,german,1.6444912,-0.040097530090810095,0.0790761354299832,0.1191736655207933,1.5981652,-0.0986217405256192,0.08015683120299774,0.17877857172861694,9,1.1631169,0.002695370465517044,0.030457207933068275,0.02776183746755123,0.0
1,amb_sg_pl,sg,amb,pl,Der Telephonanruf für die Studentin sind bekannt.,german_stimuli.csv,german,1.6565355,-0.04567745358972388,0.07648406294292727,0.12216151653265114,1.4997562,-0.08987533650980098,0.06965146096735494,0.15952679747715592,9,1.0723715,0.006093582138419151,0.026875251904129982,0.02078166976571083,0.0
1,amb_pl_sg,pl,amb,sg,Der Telephonanruf für die Studentinnen ist bekannt.,german_stimuli.csv,german,1.6759237,-0.04527224195121278,0.07780772636101858,0.12307996831223136,1.6021351,-0.10020656780864479,0.07843480715934752,0.17864137496799232,9,1.1402469,0.008327636867761612,0.031474098563194275,0.023146461695432663,0.0
1,amb_pl_pl,pl,amb,pl,Der Telephonanruf für die Studentinnen sind bekannt.,german_stimuli.csv,german,1.680006,-0.0463734345043008,0.07412724966326323,0.12050068416756403,1.5366718,-0.11248919161731283,0.06696260032480676,0.1794517919421196,9,1.0752647,0.006116591393947601,0.026134461164474487,0.020017869770526886,0.0
1,unamb_sg_sg,sg,unamb,sg,Der Telephonanruf bei der Studentin ist bekannt.,german_stimuli.csv,german,1.5829856,-0.023072412842316224,0.07754180630929568,0.10061421915161191,1.5662992,-0.09131091608306949,0.07988489602120037,0.17119581210426987,9,1.1715859,0.00622556172311306,0.031812772154808044,0.025587210431694984,0.0
1,unamb_sg_pl,sg,unamb,pl,Der Telephonanruf bei der Studentin sind bekannt.,german_stimuli.csv,german,1.6365982,-0.026813981403358868,0.07553076695115805,0.10234474835451693,1.4597012,-0.08527845236101186,0.07014991549215281,0.15542836785316466,9,1.0921247,0.009514730423688889,0.028176967054605484,0.018662236630916595,0.0
1,unamb_pl_sg,pl,unamb,sg,Der Telephonanruf bei den Studentinnen ist bekannt.,german_stimuli.csv,german,1.6179901,-0.029005191524095152,0.07829484162319886,0.10730003314729401,1.5548925,-0.09593342876710786,0.07710680725335287,0.17304023602046073,9,1.175342,0.010123994201421738,0.031230714172124863,0.021106719970703125,0.0
1,unamb_pl_pl,pl,unamb,pl,Der Telephonanruf bei den Studentinnen sind bekannt.,german_stimuli.csv,german,1.6444023,-0.030213126170093575,0.07513683845165246,0.10534996462174603,1.5073006,-0.1046256126857914,0.06881554778445587,0.17344116047024727,9,1.0776299,0.0089081060141325,0.0265788733959198,0.0176707673817873,0.0
2,amb_sg_sg,sg,amb,sg,Der Antrag an das Amt ist bekannt.,german_stimuli.csv,german,1.3426825,-0.08544661106935666,0.03775051192386751,0.12319712299322419,1.4340593,-0.061242772452493356,0.09788397578526552,0.15912674823775888,9,0.9678208,0.015694272704422474,0.025504544377326965,0.009810271672904491,1.0
2,amb_sg_pl,sg,amb,pl,Der Antrag an das Amt sind bekannt.,german_stimuli.csv,german,1.4256207,-0.0820965924837932,0.03805883660832625,0.12015542909211945,1.4033042,-0.06225611311380326,0.07513647829185666,0.1373925914056599,9,0.94230103,0.012989424634724855,0.019106414169073105,0.0061169895343482494,0.0
2,amb_pl_sg,pl,amb,sg,Der Antrag an die Ämter ist bekannt.,german_stimuli.csv,german,1.3092501,-0.08950794886147395,0.0373891611067209,0.12689710996819487,1.428552,-0.056023479997823845,0.09060919685318052,0.14663267685100437,9,0.99957484,0.011200182139873505,0.02705422416329384,0.015854042023420334,1.0
2,amb_pl_pl,pl,amb,pl,Der Antrag an die Ämter sind bekannt.,german_stimuli.csv,german,1.3680861,-0.08236951135020563,0.03600074802836543,0.11837025937857107,1.4024003,-0.09590027152936384,0.06612022549469546,0.1620204970240593,9,0.9140886,0.007189061492681503,0.017870919778943062,0.010681858286261559,0.0
2,unamb_sg_sg,sg,unamb,sg,Der Antrag bei dem Amt ist bekannt.,german_stimuli.csv,german,1.3017402,-0.09679974589795567,0.03806646960095856,0.13486621549891425,1.4015255,-0.05738256070757595,0.0949357282836518,0.15231828899122773,9,1.0833284,0.019364813342690468,0.032153062522411346,0.012788249179720879,1.0
2,unamb_sg_pl,sg,unamb,pl,Der Antrag bei dem Amt sind bekannt.,german_stimuli.csv,german,1.3879411,-0.09054362127310649,0.03716275758895156,0.12770637886205805,1.3820424,-0.06156620124816044,0.07304437293209987,0.1346105741802603,9,0.9973961,0.014673381112515926,0.022516218945384026,0.0078428378328681,0.0
2,unamb_pl_sg,pl,unamb,sg,Der Antrag bei den Ämtern ist bekannt.,german_stimuli.csv,german,1.4343325,-0.09121024389761204,0.04047050515863759,0.13168074905624963,1.4032998,-0.04986856894995506,0.09502361958418552,0.1448921885341406,9,1.1472006,0.025922778993844986,0.04018654301762581,0.014263764023780823,1.0
2,unamb_pl_pl,pl,unamb,pl,Der Antrag bei den Ämtern sind bekannt.,german_stimuli.csv,german,1.4984009,-0.07747239321272445,0.04008221265373777,0.11755460586646223,1.4305512,-0.0998993200004233,0.06630687539129128,0.16620619539171458,9,0.93697274,0.01178808230906725,0.02319549024105072,0.011407407931983471,1.0
3,amb_sg_sg,sg,amb,sg,Der Hinweis auf das Dokument ist bekannt.,german_stimuli.csv,german,1.3860981,-0.06962498412554155,0.033073414482621646,0.10269839860816318,1.3385211,-0.0626854666481258,0.09306496251649246,0.15575042916461826,9,0.90056133,0.0032988600432872772,0.02324797213077545,0.019949112087488174,1.0
3,amb_sg_pl,sg,amb,pl,Der Hinweis auf das Dokument sind bekannt.,german_stimuli.csv,german,1.478054,-0.06493452602368208,0.03502311542710075,0.09995764145078283,1.2879717,-0.0600591883016199,0.07801885856786667,0.13807804686948658,9,0.87306094,0.015537433326244354,0.027287594974040985,0.01175016164779663,1.0
3,amb_pl_sg,pl,amb,sg,Der Hinweis auf die Dokumente ist bekannt.,german_stimuli.csv,german,1.3623741,-0.06755150626986979,0.034542904629592884,0.10209441089946267,1.3297141,-0.04393932399672087,0.09691615747887079,0.14085548147559165,9,0.95295954,0.002632131800055504,0.025336120277643204,0.0227039884775877,1.0
3,amb_pl_pl,pl,amb,pl,Der Hinweis auf die Dokumente sind bekannt.,german_stimuli.csv,german,1.4211919,-0.06475053284843355,0.03293143979231487,0.09768197264074843,1.3186808,-0.0727132756118559,0.08250135762198933,0.15521463323384524,9,0.8858337,-0.0006694942712783813,0.019791286438703537,0.02046078070998192,1.0
3,unamb_sg_sg,sg,unamb,sg,Der Hinweis in dem Dokument ist bekannt.,german_stimuli.csv,german,1.3770349,-0.0636395014358167,0.0369053225024364,0.1005448239382531,1.3742828,-0.06523057836812077,0.09222999569255771,0.15746057406067848,9,0.9609775,0.011574879288673401,0.02508786879479885,0.01351298950612545,1.0
3,unamb_sg_pl,sg,unamb,pl,Der Hinweis in dem Dokument sind bekannt.,german_stimuli.csv,german,1.4713383,-0.05439239605618336,0.03544376705797636,0.08983616311415972,1.293256,-0.05800590966293129,0.07840263695059804,0.13640854661352933,9,0.9293056,0.013048868626356125,0.02144722454249859,0.008398355916142464,1.0
3,unamb_pl_sg,pl,unamb,sg,Der Hinweis in den Dokumenten ist bekannt.,german_stimuli.csv,german,1.3699296,-0.03713473725851596,0.038062835360988215,0.07519757261950417,1.3467472,-0.04995865495550718,0.09551522583094155,0.1454738807864487,9,0.94878465,0.011505499482154846,0.0298093743622303,0.018303874880075455,1.0
3,unamb_pl_pl,pl,unamb,pl,Der Hinweis in den Dokumenten sind bekannt.,german_stimuli.csv,german,1.433783,-0.023312904884398033,0.038443800584144316,0.06175670546854235,1.3092661,-0.05917268646064461,0.07850184888464153,0.13767453534528612,9,0.7858059,0.006564943119883537,0.018742714077234268,0.012177770957350731,1.0
4,amb_sg_sg,sg,amb,sg,Der Computer für die Universität ist bekannt.,german_stimuli.csv,german,1.3498435,-0.08323031550132073,0.030335272498844268,0.113565588000165,1.4898982,-0.1312214549568918,0.03571627569073175,0.16693773064762354,9,1.1490469,0.020597808994352818,0.03317304700613022,0.012575238011777401,1.0
4,amb_sg_pl,sg,amb,pl,Der Computer für die Universität sind bekannt.,german_stimuli.csv,german,1.4172305,-0.08534222640805518,0.026892551837637547,0.11223477824569272,1.3870738,-0.11020438748378303,0.035377379292957534,0.14558176677674056,9,0.96575344,0.010897014290094376,0.01974043995141983,0.008843425661325455,0.0
4,amb_pl_sg,pl,amb,sg,Der Computer für die Universitäten ist bekannt.,german_stimuli.csv,german,1.364375,-0.08467893775884128,0.030157278287546285,0.11483621604638757,1.4569911,-0.11940311059682229,0.03551646949396871,0.154919580090791,9,1.1185032,0.023409524001181126,0.03293098509311676,0.009521461091935635,1.0
4,amb_pl_pl,pl,amb,pl,Der Computer für die Universitäten sind bekannt.,german_stimuli.csv,german,1.396704,-0.08229075648364485,0.026291594986604848,0.10858235147024971,1.3733679,-0.13059662178570017,0.02963878122678414,0.16023540301248432,9,0.9930831,0.017131850123405457,0.025176212191581726,0.00804436206817627,1.0
4,unamb_sg_sg,sg,unamb,sg,Der Computer in der Universität ist bekannt.,german_stimuli.csv,german,1.2810509,-0.08074772480624944,0.027545360849578343,0.10829308565582778,1.4549458,-0.11970046390244331,0.04178718063584004,0.16148764453828335,9,1.173602,0.01829275954514742,0.029131796211004257,0.010839036665856838,0.0
4,unamb_sg_pl,sg,unamb,pl,Der Computer in der Universität sind bekannt.,german_stimuli.csv,german,1.3766985,-0.07381858822135381,0.02583064704850859,0.0996492352698624,1.3655779,-0.09905208336666926,0.04213803776993648,0.14119012113660573,9,1.0278716,0.012570168823003769,0.02085864543914795,0.00828847661614418,0.0
4,unamb_pl_sg,pl,unamb,sg,Der Computer in den Universitäten ist bekannt.,german_stimuli.csv,german,1.3347427,-0.07103303923346456,0.029135412931042916,0.10016845216450747,1.383788,-0.11183328606729977,0.03795112356001862,0.14978440962731837,9,1.114922,0.01969015644863248,0.027217891067266464,0.0075277346186339855,0.0
4,unamb_pl_pl,pl,unamb,pl,Der Computer in den Universitäten sind bekannt.,german_stimuli.csv,german,1.3858745,-0.060631676778020525,0.026660087223909022,0.08729176400192955,1.3231905,-0.11700186890425701,0.03662880353753846,0.15363067244179546,9,1.0000104,0.01739178691059351,0.023861117660999298,0.006469330750405788,1.0
