Item,Condition,Stimulus,NP_Number,Auxiliary,Full_Sentence
1,a,The slogan on the poster,singular,is,The slogan on the poster is designed to get attention.
1,b,The slogan on the posters,plural,is,The slogan on the posters is designed to get attention.
1,c,The slogan on the poster,singular,are,The slogan on the poster are designed to get attention.
1,d,The slogan on the posters,plural,are,The slogan on the posters are designed to get attention.
2,a,The picture on the flier,singular,is,The picture on the flier is of a village church in the south of France.
2,b,The picture on the fliers,plural,is,The picture on the fliers is of a village church in the south of France.
2,c,The picture on the flier,singular,are,The picture on the flier are of a village church in the south of France.
2,d,The picture on the fliers,plural,are,The picture on the fliers are of a village church in the south of France.
3,a,The mistake in the program,singular,is,The mistake in the program is disastrous for the small software company.
3,b,The mistake in the programs,plural,is,The mistake in the programs is disastrous for the small software company.
3,c,The mistake in the program,singular,are,The mistake in the program are disastrous for the small software company.
3,d,The mistake in the programs,plural,are,The mistake in the programs are disastrous for the small software company.
4,a,The label on the container,singular,is,The label on the container is a warning about the hazardous chemicals inside.
4,b,The label on the containers,plural,is,The label on the containers is a warning about the hazardous chemicals inside.
4,c,The label on the container,singular,are,The label on the container are a warning about the hazardous chemicals inside.
4,d,The label on the containers,plural,are,The label on the containers are a warning about the hazardous chemicals inside.
5,a,The problem in the store,singular,is,The problem in the store is solved by firing the custodian.
5,b,The problem in the stores,plural,is,The problem in the stores is solved by firing the custodian.
5,c,The problem in the store,singular,are,The problem in the store are solved by firing the custodian.
5,d,The problem in the stores,plural,are,The problem in the stores are solved by firing the custodian.
6,a,The name on the billboard,singular,is,The name on the billboard is of a prominent local businessman.
6,b,The name on the billboards,plural,is,The name on the billboards is of a prominent local businessman.
6,c,The name on the billboard,singular,are,The name on the billboard are of a prominent local businessman.
6,d,The name on the billboards,plural,are,The name on the billboards are of a prominent local businessman.
7,a,The crime in the suburb,singular,is,The crime in the suburb is a reflection of the violence in today's society.
7,b,The crime in the suburbs,plural,is,The crime in the suburbs is a reflection of the violence in today's society.
7,c,The crime in the suburb,singular,are,The crime in the suburb are a reflection of the violence in today's society.
7,d,The crime in the suburbs,plural,are,The crime in the suburbs are a reflection of the violence in today's society.
8,a,The defect in the appliance,singular,is,The defect in the appliance is unknown to consumers and government regulators.
8,b,The defect in the appliances,plural,is,The defect in the appliances is unknown to consumers and government regulators.
8,c,The defect in the appliance,singular,are,The defect in the appliance are unknown to consumers and government regulators.
8,d,The defect in the appliances,plural,are,The defect in the appliances are unknown to consumers and government regulators.
9,a,The citation on the notecard,singular,is,The citation on the notecard is quite difficult to track down using the library's limited resources.
