item,condition,attractor,case,verb,sentence
1,amb_sg_sg,sg,amb,sg,Der Telephonanruf für die Studentin ist bekannt.
1,amb_sg_pl,sg,amb,pl,Der Telephonanruf für die Studentin sind bekannt.
1,amb_pl_sg,pl,amb,sg,Der Telephonanruf für die Studentinnen ist bekannt.
1,amb_pl_pl,pl,amb,pl,Der Telephonanruf für die Studentinnen sind bekannt.
1,unamb_sg_sg,sg,unamb,sg,Der Telephonanruf bei der Studentin ist bekannt.
1,unamb_sg_pl,sg,unamb,pl,Der Telephonanruf bei der Studentin sind bekannt.
1,unamb_pl_sg,pl,unamb,sg,Der Telephonanruf bei den Studentinnen ist bekannt.
1,unamb_pl_pl,pl,unamb,pl,Der Telephonanruf bei den Studentinnen sind bekannt.
2,amb_sg_sg,sg,amb,sg,Der Antrag an das Amt ist bekannt.
2,amb_sg_pl,sg,amb,pl,Der Antrag an das Amt sind bekannt.
2,amb_pl_sg,pl,amb,sg,Der Antrag an die Ämter ist bekannt.
2,amb_pl_pl,pl,amb,pl,Der Antrag an die Ämter sind bekannt.
2,unamb_sg_sg,sg,unamb,sg,Der Antrag bei dem Amt ist bekannt.
2,unamb_sg_pl,sg,unamb,pl,Der Antrag bei dem Amt sind bekannt.
2,unamb_pl_sg,pl,unamb,sg,Der Antrag bei den Ämtern ist bekannt.
2,unamb_pl_pl,pl,unamb,pl,Der Antrag bei den Ämtern sind bekannt.
3,amb_sg_sg,sg,amb,sg,Der Hinweis auf das Dokument ist bekannt.
3,amb_sg_pl,sg,amb,pl,Der Hinweis auf das Dokument sind bekannt.
3,amb_pl_sg,pl,amb,sg,Der Hinweis auf die Dokumente ist bekannt.
3,amb_pl_pl,pl,amb,pl,Der Hinweis auf die Dokumente sind bekannt.
3,unamb_sg_sg,sg,unamb,sg,Der Hinweis in dem Dokument ist bekannt.
3,unamb_sg_pl,sg,unamb,pl,Der Hinweis in dem Dokument sind bekannt.
3,unamb_pl_sg,pl,unamb,sg,Der Hinweis in den Dokumenten ist bekannt.
3,unamb_pl_pl,pl,unamb,pl,Der Hinweis in den Dokumenten sind bekannt.
4,amb_sg_sg,sg,amb,sg,Der Computer für die Universität ist bekannt.
4,amb_sg_pl,sg,amb,pl,Der Computer für die Universität sind bekannt.
4,amb_pl_sg,pl,amb,sg,Der Computer für die Universitäten ist bekannt.
4,amb_pl_pl,pl,amb,pl,Der Computer für die Universitäten sind bekannt.
