lg,item,syn,sentence,condition,headn,attn,verbn
turkish,1,0,yöneticilerin aşçısı mutfakta sürekli zıpladılar,condition_a,sg,pl,pl
turkish,1,0,yöneticilerin aşçısı mutfakta sürekli zıpladı,condition_b,sg,pl,sg
turkish,1,0,yöneticinin aşçısı mutfakta sürekli zıpladılar,condition_c,sg,sg,pl
turkish,1,0,yöneticinin aşçısı mutfakta sürekli zıpladı,condition_d,sg,sg,sg
turkish,2,0,öğrencilerin ablası sınıfta birden bayıldılar,condition_a,sg,pl,pl
turkish,2,0,öğrencilerin ablası sınıfta birden bayıldı,condition_b,sg,pl,sg
turkish,2,0,öğrencinin ablası sınıfta birden bayıldılar,condition_c,sg,sg,pl
turkish,2,0,öğrencinin ablası sınıfta birden bayıldı,condition_d,sg,sg,sg
turkish,3,0,marangozların abisi atölyeden hızla uzaklaştılar,condition_a,sg,pl,pl
turkish,3,0,marangozların abisi atölyeden hızla uzaklaştı,condition_b,sg,pl,sg
turkish,3,0,marangozun abisi atölyeden hızla uzaklaştılar,condition_c,sg,sg,pl
turkish,3,0,marangozun abisi atölyeden hızla uzaklaştı,condition_d,sg,sg,sg
turkish,4,0,mahallelilerin emlakçısı aniden küstahça güldüler,condition_a,sg,pl,pl
turkish,4,0,mahallelilerin emlakçısı aniden küstahça güldü,condition_b,sg,pl,sg
turkish,4,0,mahallelinin emlakçısı aniden küstahça güldüler,condition_c,sg,sg,pl
turkish,4,0,mahallelinin emlakçısı aniden küstahça güldü,condition_d,sg,sg,sg
turkish,5,0,kızların halası sabaha kadar ağladılar,condition_a,sg,pl,pl
turkish,5,0,kızların halası sabaha kadar ağladı,condition_b,sg,pl,sg
turkish,5,0,kızın halası sabaha kadar ağladılar,condition_c,sg,sg,pl
turkish,5,0,kızın halası sabaha kadar ağladı,condition_d,sg,sg,sg
turkish,6,0,damatların dayısı arada sırada sıkıldılar,condition_a,sg,pl,pl
turkish,6,0,damatların dayısı arada sırada sıkıldı,condition_b,sg,pl,sg
turkish,6,0,damatın dayısı arada sırada sıkıldılar,condition_c,sg,sg,pl
turkish,6,0,damatın dayısı arada sırada sıkıldı,condition_d,sg,sg,sg
turkish,7,0,doktorların çiçekçisi günden güne zayıfladılar,condition_a,sg,pl,pl
turkish,7,0,doktorların çiçekçisi günden güne zayıfladı,condition_b,sg,pl,sg
turkish,7,0,doktorun çiçekçisi günden güne zayıfladılar,condition_c,sg,sg,pl
turkish,7,0,doktorun çiçekçisi günden güne zayıfladı,condition_d,sg,sg,sg
turkish,8,0,stajyerlerin eniştesi geceden önce uyudular,condition_a,sg,pl,pl
turkish,8,0,stajyerlerin eniştesi geceden önce uyudu,condition_b,sg,pl,sg
turkish,8,0,stajyerin eniştesi geceden önce uyudular,condition_c,sg,sg,pl
turkish,8,0,stajyerin eniştesi geceden önce uyudu,condition_d,sg,sg,sg
turkish,9,0,aristokratların hizmetçisi yorgun argın yattılar,condition_a,sg,pl,pl
turkish,9,0,aristokratların hizmetçisi yorgun argın yattı,condition_b,sg,pl,sg
turkish,9,0,aristokratın hizmetçisi yorgun argın yattılar,condition_c,sg,sg,pl
turkish,9,0,aristokratın hizmetçisi yorgun argın yattı,condition_d,sg,sg,sg
turkish,10,0,konuşmacıların sunucusu olağanüstü hızlı koştular,condition_a,sg,pl,pl
turkish,10,0,konuşmacıların sunucusu olağanüstü hızlı koştu,condition_b,sg,pl,sg
turkish,10,0,konuşmacının sunucusu olağanüstü hızlı koştular,condition_c,sg,sg,pl
turkish,10,0,konuşmacının sunucusu olağanüstü hızlı koştu,condition_d,sg,sg,sg
turkish,11,0,psikiyatristlerin eczacısı aç susuz dolaştılar,condition_a,sg,pl,pl
turkish,11,0,psikiyatristlerin eczacısı aç susuz dolaştı,condition_b,sg,pl,sg
turkish,11,0,psikiyatristin eczacısı aç susuz dolaştılar,condition_c,sg,sg,pl
